         MJD         m       dm     uJy  duJy F  err  chi/N        RA     Dec       x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57229.263268 18.978793      NaN    -6.5    31 o    0   1.42 203.18225 0.68113 6065.74  1557.67  3.80  3.56 -66.2 -0.448    18.55 19.66 02a57229o0040o 0xc00800        -2.5
57229.288349 18.978793      NaN   -21.5    31 o    0   1.49 203.18225 0.68113 6053.68  1568.69  3.80  3.60 -63.1 -0.444    18.52 19.62 02a57229o0075o 0xc00800        -2.5
57444.643566 17.425126      NaN   113.5    91 o    0   1.11 203.18225 0.68113 6777.05   737.87  4.37  3.41   2.3 -0.545    17.60 18.07 02a57444o0325o 0xc00800        -2.5
57445.605516 18.481707      NaN     6.5    46 o    0   0.93 203.18225 0.68113 5341.39  2177.29  4.11  3.42  -5.2 -0.484    18.32 19.16 02a57445o0774o 0xc00800        -2.5
57445.628712 18.504094      NaN   -14.5    48 o    0   0.80 203.18225 0.68113 5054.74  1595.32  4.28  3.30  -4.4 -0.525    18.34 19.16 02a57445o0815o 0xc00800        -2.5
57445.652172 18.237955      NaN    16.5    55 o    0   1.00 203.18225 0.68113 6220.54  1012.68  4.56  3.48   1.2 -0.533    18.29 19.11 02a57445o0856o 0xc00800        -2.5
57464.546067 19.351140      NaN     0.5    21 o    0   1.36 203.18225 0.68113 5378.09  1773.60  4.45  3.37  -3.3 -0.510    19.29 21.04 02a57464o0675o 0xc00800        -2.5
57464.568732 19.454622      NaN   -41.5    20 o    0   1.79 203.18225 0.68113 5087.57  1190.68  4.74  3.24  -2.9 -0.484    19.24 20.95 02a57464o0718o 0xc00800        -2.5
57464.580802 19.419021      NaN     2.5    19 o    0   1.33 203.18225 0.68113 2461.80 10299.86  3.97  3.69 -35.6 -0.415    19.18 20.86 02a57464o0741o 0xc00800        -2.5
57464.591200 19.169763      NaN   -36.5    26 o    0   1.05 203.18225 0.68113 6255.00   608.48  4.98  3.22   1.7 -0.493    19.21 20.91 02a57464o0761o 0xc00800        -2.5
57464.614210 18.967180      NaN    22.5    23 o    0   1.09 203.18225 0.68113 6486.10   886.05  4.68  3.26   3.3 -0.492    19.22 20.91 02a57464o0804o 0xc00800        -2.5
57476.522619 18.990530      NaN    -0.5    30 o    0   1.07 203.18225 0.68113 5689.99  1797.85  4.28  3.45  -1.0 -0.505    18.86 20.19 02a57476o0614o 0xc00800        -2.5
57476.545061 18.910912      NaN    -8.5    33 o    0   1.22 203.18225 0.68113 5397.95  1214.65  4.68  3.70  -3.5 -0.491    18.80 20.16 02a57476o0657o 0xc00800        -2.5
57476.561182 18.550302      NaN    36.5    33 o    0   1.08 203.18225 0.68113 2775.34 10323.76  4.15  3.93  -9.7 -0.387    18.63 19.94 02a57476o0688o 0xc00800        -2.5
57476.567533 18.481707      NaN    24.5    40 o    0   0.97 203.18225 0.68113 6587.30   632.07  4.98  3.59   4.7 -0.517    18.71 20.01 02a57476o0700o 0xc00800        -2.5
57493.435192 19.014394      NaN   -54.5    30 o    0   1.13 203.18225 0.68113 5535.38  1863.25  4.77  3.45   2.5 -0.454    18.79 20.21 02a57493o0436o 0xc00800        -2.5
57493.456407 18.675237      NaN    18.5    34 o    0   1.09 203.18225 0.68113 5250.95  1278.17  4.33  3.32  10.6 -0.488    18.84 20.23 02a57493o0479o 0xc00800        -2.5
57493.467845 18.910912      NaN   -21.5    33 o    0   0.89 203.18225 0.68113 6396.17   699.57  4.47  3.48   1.9 -0.522    18.85 20.18 02a57493o0501o 0xc00800        -2.5
