Nested Sampling Global Log-Evidence           :   -0.248395705284319451E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.266359655419305064E+00  +/-    0.635290034992021420E-02

Dim No.       Mean        Sigma
   1   -0.319698943778938972E-02    0.370104376101597224E-02
   2   -0.348833387713029319E+01    0.329018069545662095E+00
   3    0.665465770600268569E+00    0.271210434177612467E-01
   4    0.982503565379372223E+00    0.367750441782303261E-01
   5    0.131147561380820909E-01    0.924816618094364065E-03
   6    0.144512904283468768E+01    0.320615056177892752E-01
   7   -0.177431350630202656E+01    0.217253935678975912E+00
   8   -0.115486522882914680E+00    0.956236714345506250E-02
   9   -0.853495122143445917E+00    0.505787390627639999E+00
  10   -0.254617519517714774E+00    0.775898813921690883E-01
  11    0.158127959795815620E+00    0.615227420586374196E-01
  12   -0.250573600749755210E+00    0.506002288237503914E-01
  13    0.232846441797160235E-01    0.174636236623221253E-01
  14   -0.109031808356126847E+01    0.164064328698824771E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.491276755867876141E-02
   2   -0.366740506380091702E+01
   3    0.663855045368285102E+00
   4    0.950399844923509485E+00
   5    0.120562853440808575E-01
   6    0.140841558359285357E+01
   7   -0.166812626501293271E+01
   8   -0.106461140633480111E+00
   9   -0.925980865272138298E+00
  10   -0.205447666324717948E+00
  11    0.245383051819392073E+00
  12   -0.177011517845730076E+00
  13    0.777202758783908723E-02
  14   -0.111104769362672884E+01

MAP Parameters
Dim No.        Parameter
   1   -0.952161997763205370E-03
   2   -0.332510044171820551E+01
   3    0.641170636823327311E+00
   4    0.987664908633346217E+00
   5    0.143259341515970945E-01
   6    0.136901969503075027E+01
   7   -0.184516595345838597E+01
   8   -0.116653478951273759E+00
   9   -0.529908296955076685E+00
  10   -0.365083589812923492E+00
  11    0.975126676933677078E-01
  12   -0.206084275446421661E+00
  13   -0.460404691316537718E-02
  14   -0.111055079680460045E+01
