Nested Sampling Global Log-Evidence           :   -0.168194261023795129E+02  +/-    0.395620634609276267E+00
Nested Importance Sampling Global Log-Evidence:   -0.216421629771061319E+02  +/-    0.515308264267350241E-01

Dim No.       Mean        Sigma
   1    0.632516212875020856E-01    0.332511229361575344E-01
   2   -0.895799717774142223E+01    0.124745923957567029E+01
   3    0.613772502300210188E+00    0.164676389565424658E+00
   4    0.103280467111941698E+01    0.110677392682979145E+00
   5    0.114664419953735310E-01    0.380519811465416906E-02
   6    0.117647856271025675E+01    0.110983997427220399E+00
   7   -0.163009835534740088E+01    0.414798915107402077E+00
   8   -0.137245249942354486E+00    0.845765161063383175E-01
   9   -0.519806985730977367E+01    0.358625855101097013E+01
  10   -0.178949976229916985E+00    0.173952918898804709E+00
  11   -0.125200665581513881E+00    0.135398637892293089E+00
  12   -0.210155045311275351E+00    0.265653577422051701E+00
  13   -0.326503882840330009E-01    0.148219418137416376E+00
  14   -0.106068673568853167E+01    0.555141197537603395E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.611370713367096127E-01
   2   -0.850921801047684490E+01
   3    0.545950942464237365E+00
   4    0.997861170935150810E+00
   5    0.125566380395058866E-01
   6    0.123441633701908460E+01
   7   -0.104387760944981389E+01
   8   -0.393584761033929920E+00
   9   -0.978991939216766838E+01
  10   -0.452521424876145550E+00
  11    0.117572150700598427E+00
  12   -0.280283869879777214E+00
  13    0.214155257565439350E+00
  14   -0.104736877874084722E+01

MAP Parameters
Dim No.        Parameter
   1    0.611370713367096127E-01
   2   -0.850921801047684490E+01
   3    0.545950942464237365E+00
   4    0.997861170935150810E+00
   5    0.125566380395058866E-01
   6    0.123441633701908460E+01
   7   -0.104387760944981389E+01
   8   -0.393584761033929920E+00
   9   -0.978991939216766838E+01
  10   -0.452521424876145550E+00
  11    0.117572150700598427E+00
  12   -0.280283869879777214E+00
  13    0.214155257565439350E+00
  14   -0.104736877874084722E+01
