Nested Sampling Global Log-Evidence           :   -0.419334000990464362E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.786703589545681981E+00  +/-    0.465974334099670748E-01

Dim No.       Mean        Sigma
   1    0.111256374390414359E+00    0.287957075192963718E-02
   2   -0.272518685915718812E+02    0.379069602278865325E+00
   3    0.935419333570228662E+00    0.176392669794937992E-01
   4    0.146233573438792042E+01    0.449278381635786900E-01
   5    0.938525054182215261E-02    0.227309379742869205E-03
   6    0.185174468112823432E+01    0.107606819664992064E-01
   7   -0.156960030285202179E+01    0.724516769027039043E-01
   8   -0.826838471687160043E-02    0.218645964792207881E-02
   9   -0.482171965169105121E+01    0.111834874208099011E+01
  10   -0.128209093872596991E+00    0.411201942094963635E-01
  11    0.575173976753289226E-01    0.709258597209878449E-02
  12   -0.865623101691338770E-01    0.184038886550780684E-01
  13   -0.848548480213597578E-01    0.187634382424712656E-01
  14   -0.108281518415708544E+01    0.598887089043950282E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111598957179631905E+00
   2   -0.272318005831386856E+02
   3    0.928938515267349496E+00
   4    0.148782733697994884E+01
   5    0.936929394192327104E-02
   6    0.183583408407859472E+01
   7   -0.147614540278577766E+01
   8   -0.581256776136305012E-02
   9   -0.487848577105282200E+01
  10   -0.119523298803436914E+00
  11    0.613398991883055481E-01
  12   -0.102011693261064740E+00
  13   -0.896437844822974561E-01
  14   -0.108784601164190775E+01

MAP Parameters
Dim No.        Parameter
   1    0.109843000831428492E+00
   2   -0.271136536541614603E+02
   3    0.934810139632120229E+00
   4    0.146453802615740303E+01
   5    0.956407736386313823E-02
   6    0.183029390811110071E+01
   7   -0.161766520097663902E+01
   8   -0.588639572399158977E-02
   9   -0.513469117177196033E+01
  10   -0.111274404801510199E+00
  11    0.474562198795107845E-01
  12   -0.598337270793839957E-01
  13   -0.115024819764606268E+00
  14   -0.107705351994320830E+01
