Nested Sampling Global Log-Evidence           :   -0.926174594029734521E+03  +/-    0.824085857415599365E+00
Nested Importance Sampling Global Log-Evidence:   -0.931767650956195666E+03  +/-    0.329547267516774323E-01

Dim No.       Mean        Sigma
   1    0.226394313159363564E+00    0.720747188244863154E-02
   2   -0.710858866707279158E+00    0.148455472869539168E+00
   3    0.582854682150416359E+00    0.182186679323919631E-01
   4    0.555966909415862159E-01    0.449081326807261247E-01
   5    0.246583556260917625E-02    0.202784343858983902E-02
   6    0.799886024890939740E+00    0.781334736818120601E-02
   7   -0.170016480645114676E+01    0.449108806529776416E+00
   8    0.110701656183763791E+00    0.203917855864615624E-01
   9   -0.105521763323528273E+01    0.509414538608488621E+00
  10    0.268512337918918979E-01    0.332486146532728552E-01
  11   -0.171391542619753270E-01    0.151617514618314186E+00
  12   -0.185535462894910519E+00    0.236086783558040886E+00
  13   -0.100221484598209384E+00    0.214346045138649917E-01
  14   -0.106905624885347028E+01    0.612094335643427190E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.231213008263292330E+00
   2   -0.735498300041449227E+00
   3    0.578249642610903725E+00
   4    0.271342747215244096E-01
   5    0.850761976324491097E-03
   6    0.798703195498349894E+00
   7   -0.161386397221662192E+01
   8    0.134223821553870415E+00
   9   -0.280843452282237838E+00
  10    0.652865445217616358E-01
  11   -0.304176667628738517E+00
  12   -0.118544444755498135E-01
  13   -0.106658989551855474E+00
  14   -0.105918103872887159E+01

MAP Parameters
Dim No.        Parameter
   1    0.231213008263292330E+00
   2   -0.735498300041449227E+00
   3    0.578249642610903725E+00
   4    0.271342747215244096E-01
   5    0.850761976324491097E-03
   6    0.798703195498349894E+00
   7   -0.161386397221662192E+01
   8    0.134223821553870415E+00
   9   -0.280843452282237838E+00
  10    0.652865445217616358E-01
  11   -0.304176667628738517E+00
  12   -0.118544444755498135E-01
  13   -0.106658989551855474E+00
  14   -0.105918103872887159E+01
