Nested Sampling Global Log-Evidence           :   -0.133506350116949957E+02  +/-    0.199164688893767178E+00
Nested Importance Sampling Global Log-Evidence:   -0.176863474915863286E+02  +/-    0.130920429055384369E+00

Dim No.       Mean        Sigma
   1    0.577134237770310227E-01    0.493817361458018037E-01
   2   -0.134503439908502003E+02    0.565400572078507579E+01
   3    0.550576714400049849E+00    0.325995334063047371E+00
   4    0.905178624132378928E+00    0.360887336777368783E+00
   5    0.108732823103368532E-01    0.425223372322017668E-02
   6    0.110622069641892540E+01    0.419448441487940249E+00
   7   -0.170586582566711575E+01    0.423153187059677582E+00
   8   -0.112743685275102715E+00    0.841167693450614595E-01
   9   -0.294246884995356162E+01    0.369349043935361765E+01
  10   -0.124343389386300962E+00    0.169651156832000716E+00
  11   -0.788637289388680607E-01    0.126729056865522549E+00
  12   -0.164072453672567758E+00    0.244163227449557457E+00
  13   -0.168305864161065855E+00    0.206569028141958377E+00
  14   -0.106070849041997661E+01    0.516125262220676340E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.600661537878019597E-01
   2   -0.118480489719475734E+02
   3    0.393771097737850018E+00
   4    0.592955974230162997E+00
   5    0.971233710315633041E-02
   6    0.969252781106251904E+00
   7   -0.157989337111959505E+01
   8   -0.209883397000538097E+00
   9   -0.142645632732567851E+01
  10   -0.195938219091264493E+00
  11    0.187573291588094618E-01
  12   -0.351635390004805815E+00
  13   -0.198578106286694422E+00
  14   -0.106458985408410656E+01

MAP Parameters
Dim No.        Parameter
   1   -0.600661537878019597E-01
   2   -0.118480489719475734E+02
   3    0.393771097737850018E+00
   4    0.592955974230162997E+00
   5    0.971233710315633041E-02
   6    0.969252781106251904E+00
   7   -0.157989337111959505E+01
   8   -0.209883397000538097E+00
   9   -0.142645632732567851E+01
  10   -0.195938219091264493E+00
  11    0.187573291588094618E-01
  12   -0.351635390004805815E+00
  13   -0.198578106286694422E+00
  14   -0.106458985408410656E+01
