Nested Sampling Global Log-Evidence           :   -0.610917260274001506E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.623529917773762432E+00  +/-    0.191304382498116402E-02

Dim No.       Mean        Sigma
   1    0.119208316457384986E+00    0.214079072860593779E-02
   2   -0.169822086905941241E+02    0.438603725087719054E+00
   3    0.875151439142597409E+00    0.162306458385919790E-01
   4    0.121384823322966384E+01    0.339293141862651929E-01
   5    0.833134424030897332E-02    0.424790229408528880E-03
   6    0.183467209971978273E+01    0.526316777185680765E-02
   7   -0.255093012448300716E+01    0.452385490989748174E-01
   8   -0.499232891503610873E-01    0.278420854166279326E-01
   9   -0.505807509714221748E+01    0.158883860660525622E+01
  10   -0.207835217223537233E+00    0.361039580734547824E-01
  11   -0.385122749987882249E-01    0.289697520057742020E-01
  12   -0.237200818382601153E+00    0.288638569781377655E-01
  13   -0.170707242489680222E+00    0.891718292539786656E-01
  14   -0.123911570607490740E+01    0.280616432530513514E-01
  15    0.226082555578551614E+00    0.102725151349057913E-02
  16    0.248606803647505302E+03    0.166884352823974980E+01
  17    0.147252535655795981E+03    0.209206705511779445E+01
  18    0.892703146393868274E+00    0.520101534780883362E-01
  19    0.894320436556628295E+00    0.350135351368113870E-01
  20    0.987157216301193241E+00    0.103592942709913843E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.117076720493035899E+00
   2   -0.170959357759373702E+02
   3    0.874939007625714305E+00
   4    0.128889376799910083E+01
   5    0.776924356664919491E-02
   6    0.182835877351183207E+01
   7   -0.261976725246086994E+01
   8   -0.814787772244001257E-01
   9   -0.302107470662859523E+01
  10   -0.199109830554893785E+00
  11   -0.218741879644649764E-01
  12   -0.245116225214770417E+00
  13   -0.215176271623142151E+00
  14   -0.124817428928897223E+01
  15    0.227384014623809000E+00
  16    0.248295747822113668E+03
  17    0.143633667253513380E+03
  18    0.834366724896887235E+00
  19    0.874003189085281296E+00
  20    0.942609713368153912E+00

MAP Parameters
Dim No.        Parameter
   1    0.119651230686848950E+00
   2   -0.179714766744251300E+02
   3    0.877401655072515885E+00
   4    0.121908715491524222E+01
   5    0.835853099137190934E-02
   6    0.183602456457123608E+01
   7   -0.251637961156325751E+01
   8   -0.661386647988670834E-01
   9   -0.546331105419902130E+01
  10   -0.184596113034371789E+00
  11   -0.878420213943505168E-01
  12   -0.237701806365098162E+00
  13    0.102636621972434783E-01
  14   -0.122562203158313276E+01
  15    0.225495369572810023E+00
  16    0.248562292447938745E+03
  17    0.151896496902655855E+03
  18    0.925614439406553857E+00
  19    0.925076102508313070E+00
  20    0.109583550627644866E+01
