         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57246.548389 19.569016      NaN  -27    18 c    0   1.39 42.73262 -2.13844  7987.56  4603.71 3.74 3.54  83.2 -0.415    19.44 21.27 02a57246o0413c -1.500000
57246.579236 19.569016      NaN  -44    18 c    0   1.14 42.73262 -2.13844  7985.09  4610.22 3.83 3.60  80.6 -0.408    19.52 21.44 02a57246o0455c -2.444444
57246.591669 19.419021      NaN   20    14 c    0   1.45 42.73262 -2.13844  9442.39  3164.20 3.80 3.56  43.1 -0.442    19.58 21.51 02a57246o0473c  1.428571
57246.622173 19.922338      NaN  -33    13 c    0   1.49 42.73262 -2.13844  9439.33  3170.33 3.85 3.54  54.5 -0.443    19.54 21.41 02a57246o0515c -2.538462
57334.461959 19.510313      NaN    9    16 c    0   1.12 42.73262 -2.13844  2708.78  6009.02 4.23 4.00 -60.5 -0.363    19.39 21.33 02a57334o0412c  0.562500
57334.530093 19.510313      NaN    6    17 c    0   1.23 42.73262 -2.13844  1241.72  7460.84 4.10 3.83 -65.3 -0.402    19.36 21.18 02a57334o0471c  0.352941
57334.560663 19.128787      NaN   30    17 c    0   1.30 42.73262 -2.13844  1248.80  7462.45 4.05 3.77 -66.0 -0.410    19.21 20.90 02a57334o0515c  1.764706
57339.443151 19.491430      NaN   13    15 c    0   1.50 42.73262 -2.13844  1238.13  7463.50 4.18 3.96 -65.0 -0.402    19.47 21.46 02a57339o0001c  0.866667
57374.324140 18.504094      NaN  -34    48 c    0   0.89 42.73262 -2.13844  3187.10  5494.00 4.68 4.00   0.2 -0.351    18.25 20.11 02a57374o0133c -0.708333
57374.340067 18.615142      NaN   13    39 c    0   1.04 42.73262 -2.13844  3477.23  6079.21 4.07 3.48 -31.6 -0.406    18.55 20.22 02a57374o0159c  0.333333
57374.356679 18.438271      NaN   30    41 c    0   0.87 42.73262 -2.13844  2613.19  4918.23 3.72 3.38 -42.2 -0.425    18.60 20.22 02a57374o0186c  0.731707
57374.384024 18.298627      NaN  -24    58 c    0   0.96 42.73262 -2.13844  2316.98  6667.62 3.77 2.73  79.9 -0.465    18.11 19.66 02a57374o0229c -0.413793
57390.197548 18.019544      NaN  -34    75 c    0   1.05 42.73262 -2.13844  3309.70  2574.40 5.18 4.89 -10.2 -0.371    17.83 18.76 02a57390o0030c -0.453333
57390.198169 18.226218      NaN  -28    62 c    0   1.04 42.73262 -2.13844  3309.66  2574.65 4.91 4.70 -13.6 -0.377    17.97 18.94 02a57390o0031c -0.451613
57390.198784 17.732831      NaN  104    63 c    0   0.95 42.73262 -2.13844  3309.16  2574.77 5.03 4.69 -12.6 -0.380    18.05 19.10 02a57390o0032c  1.650794
57391.198030 17.837796      NaN   56    70 c    0   1.22 42.73262 -2.13844  1112.73  2558.35 4.69 4.06 -25.3 -0.476    18.04 18.83 02a57391o0031c  0.800000
57391.198645 18.261819      NaN  -62    60 c    0   1.35 42.73262 -2.13844  1112.61  2558.48 4.71 4.10 -30.1 -0.461    18.14 19.01 02a57391o0032c -1.033333
57391.199277 18.094452      NaN   45    55 c    0   1.15 42.73262 -2.13844  1112.38  2558.61 4.60 4.03 -35.6 -0.473    18.25 19.18 02a57391o0033c  0.818182
57398.302394 19.631075      NaN   -2    17 c    0   0.89 42.73262 -2.13844  2974.32  5656.43 4.15 3.73 -58.6 -0.427    19.56 21.56 02a57398o0173c -0.117647
57398.318944 19.631075      NaN   -1    17 c    0   0.95 42.73262 -2.13844  3290.76  6242.95 4.02 3.66 -60.6 -0.420    19.52 21.49 02a57398o0200c -0.058824
57398.335549 19.631075      NaN  -10    17 c    0   0.96 42.73262 -2.13844  2452.51  5081.04 4.26 3.72 -45.2 -0.420    19.52 21.48 02a57398o0227c -0.588235
57398.352181 18.978793      NaN   42    17 c    0   0.96 42.73262 -2.13844  2184.11  6826.83 4.09 3.61 -59.5 -0.428    19.51 21.47 02a57398o0254c  2.470588
