Nested Sampling Global Log-Evidence           :   -0.331193837012018033E+01  +/-    0.244952444861440549E-01
Nested Importance Sampling Global Log-Evidence:   -0.404371083062259462E+01  +/-    0.935383807439307685E-01

Dim No.       Mean        Sigma
   1    0.340401785207205196E-01    0.359228726645220361E-02
   2   -0.133724848819241640E+02    0.266623660174317489E+00
   3    0.467347049848451268E+00    0.448618737975609930E-01
   4    0.101155502532315311E+01    0.336602725333891573E-01
   5    0.120923290472952846E-01    0.424518292130694123E-03
   6    0.190309038551922916E+01    0.578593272092275436E-02
   7   -0.187943841379129872E+01    0.247435354052544021E+00
   8    0.666845144252468415E-02    0.606181404060247061E-02
   9   -0.113675946494673319E+01    0.621812744389210414E+00
  10   -0.120513558834277376E+00    0.531747966564013255E-01
  11   -0.236466919132788632E-01    0.336667650732023552E-01
  12   -0.406328251219428449E+00    0.849275061410973559E-01
  13   -0.325118534884577037E+00    0.983028423568738964E-02
  14   -0.106808117135234748E+01    0.136283176879454741E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.285759016732791277E-01
   2   -0.132827435649102146E+02
   3    0.477263139882869891E+00
   4    0.103779853430071833E+01
   5    0.121819678718474537E-01
   6    0.190708312446515027E+01
   7   -0.221373137393644503E+01
   8    0.765922089511148364E-02
   9   -0.779340599652676991E+00
  10   -0.803836548414352120E-01
  11   -0.482909763647114409E-02
  12   -0.406225615315050637E+00
  13   -0.336917134302238630E+00
  14   -0.108194667992127047E+01

MAP Parameters
Dim No.        Parameter
   1    0.298480797307219929E-01
   2   -0.132071080800740503E+02
   3    0.390015012192380051E+00
   4    0.109010272809068409E+01
   5    0.126423521718973027E-01
   6    0.189986344435138199E+01
   7   -0.165756014673284779E+01
   8    0.617742049646551657E-02
   9   -0.168407812978263127E+01
  10   -0.179192341961384116E+00
  11    0.485068189282300416E-01
  12   -0.396319742295124511E+00
  13   -0.325351332272537541E+00
  14   -0.106296133080927002E+01
