Nested Sampling Global Log-Evidence           :   -0.154831360188149691E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.234713656734677256E+01  +/-    0.110705229945464029E+00

Dim No.       Mean        Sigma
   1    0.800319181748323644E-01    0.247274681699874779E-02
   2   -0.198783448678539791E+02    0.115428199113167221E+00
   3    0.758433248969699103E+00    0.735397994761011631E-02
   4    0.134763641259745515E+01    0.296465512111176999E-01
   5    0.848984937317738726E-02    0.293794709747165336E-03
   6    0.196723612917101631E+01    0.240262414857702082E-02
   7   -0.162512246534714655E+01    0.106527138963313256E+00
   8   -0.147580928354669433E+00    0.277827567059853045E-02
   9   -0.149529887581146981E+01    0.227212375019201468E+00
  10   -0.529853061777569301E-01    0.213686442946233457E-01
  11    0.843531051929865931E-02    0.176343365904434585E-01
  12   -0.209228313708613139E+00    0.133275198252119764E-01
  13   -0.124908483207404331E+00    0.638426999549136006E-02
  14   -0.108468062268475562E+01    0.241095388303509302E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.733587416326955538E-01
   2   -0.200480746341234415E+02
   3    0.760456949811799898E+00
   4    0.134870538720613853E+01
   5    0.804182901215600918E-02
   6    0.196415029691962451E+01
   7   -0.166341948100502091E+01
   8   -0.149438859743348584E+00
   9   -0.147520293416800197E+01
  10   -0.822808784391567405E-01
  11    0.328614759354424329E-01
  12   -0.208785577701031178E+00
  13   -0.129189814799258618E+00
  14   -0.107174973310393828E+01

MAP Parameters
Dim No.        Parameter
   1    0.785223638775217059E-01
   2   -0.198992342040712593E+02
   3    0.754018450931368989E+00
   4    0.128346332892602288E+01
   5    0.840999869891703722E-02
   6    0.196790301608044049E+01
   7   -0.144635158862625346E+01
   8   -0.145096204463765199E+00
   9   -0.185945222128525223E+01
  10   -0.496257207488442070E-01
  11   -0.135868029666172570E-02
  12   -0.185121186970175766E+00
  13   -0.124428820659245959E+00
  14   -0.107118785782712167E+01
