# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59761.43,-2.00,6.45,c,3
59763.42,-12.50,13.79,c,2
59776.16,18.40,8.86,o,5
59778.12,3.75,12.60,o,4
59780.31,13.25,10.63,o,4
59786.14,-1.25,4.13,c,4
59796.37,-1.33,4.07,c,3
59798.14,1.67,4.07,c,3
59800.36,2.50,14.54,o,8
59802.33,-35.33,44.35,o,3
59804.84,1.12,6.69,o,8
59812.15,17.00,6.54,o,4
59812.94,2.50,7.60,c,6
59814.63,10.00,6.71,o,8
59819.04,13.50,5.26,o,4
59820.26,26.88,3.40,c,8
59825.99,86.00,6.37,o,3
59826.01,82.00,9.00,o,1
59830.84,119.30,6.96,o,10
59832.01,138.50,19.09,o,2
59835.01,128.75,12.14,o,4
59836.09,136.67,11.04,o,3
59838.05,143.25,8.01,o,4
59841.94,146.50,4.26,c,4
59842.98,157.00,5.39,o,4
59844.23,161.00,5.53,o,4
59846.07,131.00,5.51,c,4
59848.70,148.00,10.49,o,7
59850.00,145.25,4.67,c,4
59850.30,150.50,8.14,o,2
59850.57,134.29,13.29,c,7
59853.32,149.38,2.92,o,16
59854.31,156.00,6.04,o,4
59855.09,128.38,3.76,c,8
59857.36,138.33,6.37,o,6
59860.17,123.25,6.69,o,8
59862.01,152.00,135.00,o,1
59865.18,111.50,5.73,o,12
59866.26,124.50,7.26,o,4
59868.15,98.25,4.26,c,4
59869.99,119.50,7.07,o,2
59870.01,111.00,8.85,o,2
59872.78,85.33,3.54,c,6
59873.93,99.00,6.76,o,4
59874.24,85.00,4.02,c,4
59876.68,76.75,3.06,c,8
59878.31,61.00,5.01,c,4
59878.98,82.38,4.45,o,8
59880.71,65.12,3.18,c,8
59881.90,81.75,6.00,o,4
59883.94,80.75,7.64,o,4
59884.59,78.43,4.98,o,7
59886.19,71.00,6.77,o,4
59889.07,77.45,9.90,o,11
59890.16,95.00,17.44,o,4
59892.71,92.86,38.11,o,7
59895.08,56.57,7.31,o,7
59896.29,51.33,10.23,o,3
59897.93,35.25,3.76,c,4
59899.42,35.62,3.09,c,8
59900.19,50.75,4.64,o,4
59903.13,31.30,6.84,c,10
59904.72,35.62,3.97,o,8
59905.90,22.00,3.15,c,4
59906.24,51.50,7.03,o,4
59907.42,13.75,2.62,c,8
59908.22,28.75,6.81,o,4
59909.95,13.50,7.43,c,2
59910.22,33.50,5.39,o,4
59910.95,31.00,4.26,c,4
59913.07,31.00,4.12,o,8
59915.39,22.12,5.20,o,8
59916.50,36.00,12.69,o,5
59919.94,40.33,18.66,o,3
59921.06,29.25,24.38,o,4
59922.92,31.25,10.25,o,4
59924.17,17.88,7.19,o,8
59928.51,16.08,2.57,c,12
59932.14,20.12,3.12,c,8
59933.90,23.00,4.78,o,4
59934.17,9.75,5.58,c,4
59935.87,20.00,8.04,o,3
59936.15,11.75,3.12,c,8
59937.89,26.33,23.98,o,3
59938.13,14.00,5.20,c,3
59939.38,26.25,3.42,o,8
59940.13,10.00,3.90,c,4
59941.88,20.25,5.64,o,4
59943.43,19.00,4.43,o,9
59944.13,9.00,8.77,o,4
59947.42,31.91,6.96,o,11
59948.10,13.00,13.88,o,3
59950.86,16.17,9.25,o,6
59953.00,21.75,6.03,o,8
59956.10,11.25,8.41,o,4
59957.86,-5.33,11.42,c,3
59959.83,17.25,4.63,c,4
59960.10,12.00,5.00,o,4
59963.85,8.67,4.82,c,3
59964.09,10.25,6.65,o,4
59965.83,13.25,2.71,c,8
59968.09,11.25,5.01,o,4
59969.81,3.75,4.39,c,4
59973.06,17.57,5.41,o,7
59976.64,12.17,8.47,o,6
59980.65,-1.67,15.66,o,3
59984.91,15.62,7.15,o,8
59986.78,12.25,12.75,o,4
59987.04,-6.75,6.67,c,4
59988.03,7.50,7.34,c,4
59990.79,27.00,8.49,o,2
59992.04,4.75,5.18,c,4
59994.78,7.00,6.68,o,4
59998.80,11.75,5.51,o,4
60000.13,6.00,6.18,c,3
60002.77,5.00,16.41,o,3
60014.78,12.50,7.29,o,4
60016.09,17.25,10.08,o,4
60018.78,-8.00,11.00,c,1
60020.09,2.40,8.95,o,5
60024.08,25.33,12.27,o,3
60030.78,11.25,8.26,o,4
60032.01,10.50,10.01,o,4
60042.75,-6.50,17.07,o,2
60045.41,6.17,7.73,o,6
60057.98,2.67,19.57,c,3
60059.72,30.00,16.49,o,3
60068.72,39.50,27.89,o,4
60102.18,16.33,18.73,o,3
60112.43,6.00,7.51,c,5
60126.80,-2.50,9.81,o,8
60130.41,18.50,13.35,o,4
60132.81,-4.00,10.51,o,8
60136.43,2.33,15.24,o,3
60139.40,4.25,5.88,o,4
60141.18,24.00,8.51,c,2
60142.06,10.00,12.19,c,3
60148.40,-0.75,6.77,o,4
60155.33,-25.00,12.76,o,3
60159.11,18.67,16.39,o,3
60162.16,14.25,8.43,o,4
60167.39,2.50,6.41,o,4
60168.15,9.62,4.26,o,8
60172.09,-3.75,6.51,o,4
60179.35,3.00,4.38,c,4
60180.10,5.25,6.14,o,4
60183.07,-12.75,6.51,o,4
60184.03,10.00,7.77,o,4
60187.24,20.25,17.80,o,4
60189.09,-19.00,20.00,o,1
60204.94,0.00,4.27,c,4
60208.29,2.50,6.27,o,4
60210.03,1.75,4.26,c,4
60211.29,-3.25,5.88,o,4
60214.19,7.25,11.51,o,4
60216.01,1.50,12.76,o,4
60219.32,9.58,5.39,o,12
60221.18,-3.50,7.13,o,4
60227.00,-2.14,3.85,o,7
60228.00,21.00,12.00,o,1
60232.74,0.00,6.09,o,4
60234.76,4.20,4.40,o,5
