# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59878.36,-5.00,5.12,c,5
59880.81,-1.29,4.12,c,7
59881.94,15.50,6.86,o,4
59882.29,4.00,4.26,c,4
59884.03,17.75,6.88,o,4
59885.28,0.00,3.79,c,4
59886.29,2.50,5.66,o,4
59889.29,-8.25,8.10,o,4
59890.23,66.67,95.10,o,3
59893.33,6.50,33.85,o,10
59896.94,11.40,8.21,o,5
59898.01,11.50,9.60,o,2
59900.21,10.50,6.70,o,4
59902.09,13.00,12.00,o,1
59904.73,3.50,3.44,o,8
59905.98,-4.00,3.63,c,4
59906.23,4.00,5.52,o,4
59908.19,2.75,4.89,o,4
59909.93,0.75,4.77,c,4
59911.46,7.88,4.63,c,8
59912.90,4.17,3.58,o,12
59914.72,6.36,3.95,o,11
59916.09,20.00,12.00,c,1
59916.90,19.12,5.83,o,8
59918.85,3.69,5.43,o,16
59921.91,-30.50,19.91,o,2
59922.93,10.00,9.76,o,4
59924.16,-4.67,13.67,o,3
59928.67,7.43,5.63,o,7
59930.21,3.50,4.26,c,4
59933.26,-4.50,6.52,c,4
59934.24,8.50,5.66,c,2
59935.39,7.00,4.18,o,7
59937.97,1.00,34.00,o,1
59938.18,8.25,4.39,c,4
59939.12,8.00,4.66,o,5
59940.25,1.00,3.55,c,4
59941.03,9.44,3.54,o,9
59942.24,-4.25,3.26,c,4
59943.18,3.80,5.57,o,5
59944.26,-2.25,4.05,c,4
59945.21,15.60,5.61,o,5
59947.07,5.90,5.06,o,10
59949.24,2.50,12.56,o,4
59950.96,26.75,11.03,o,4
59954.98,1.50,7.51,o,4
59956.18,0.67,13.21,o,3
59959.46,3.25,5.03,o,8
59960.69,1.25,3.78,o,8
59962.19,5.67,6.18,o,3
59963.50,0.00,2.99,c,7
59965.16,1.67,5.22,o,3
59967.50,2.83,3.80,c,6
59969.17,3.00,5.15,o,4
59969.91,-1.25,3.76,c,4
59971.92,-2.00,4.07,c,3
59973.02,7.25,4.43,o,8
59974.98,26.67,4.91,o,12
59976.65,67.12,7.10,o,8
59979.05,129.09,6.32,o,11
59980.64,118.62,10.19,o,8
59982.97,148.91,8.91,o,11
59985.12,156.43,5.53,o,7
59987.11,171.00,6.03,c,4
59988.11,170.50,4.50,c,4
59989.86,162.75,5.38,o,4
59991.11,185.25,5.14,c,4
59992.10,172.00,4.76,c,4
59993.85,163.00,7.15,o,4
59995.09,146.25,5.27,c,4
59997.85,130.50,5.01,o,4
59999.02,120.25,7.55,c,4
60003.07,114.50,6.91,o,4
60005.07,96.71,5.62,o,7
60006.91,89.00,13.45,o,2
60008.07,98.00,10.02,o,4
60011.05,101.00,11.82,o,8
60013.82,63.75,7.94,o,4
60014.97,77.67,5.42,o,12
60017.85,28.33,4.43,c,3
60018.78,21.00,8.00,c,1
60019.04,65.00,7.64,o,4
60020.05,47.50,7.40,o,4
60022.80,34.75,4.26,c,4
60023.04,53.25,8.18,o,4
60024.07,41.50,7.65,o,4
60025.77,19.00,18.00,c,1
60027.00,50.50,8.25,o,4
60029.79,38.75,6.89,o,4
60031.05,31.25,7.21,o,4
60036.92,30.50,8.81,o,8
60039.32,29.57,7.29,o,7
60041.01,24.75,11.88,o,4
60043.01,32.75,6.95,o,8
60046.00,36.50,9.19,c,2
60046.01,29.50,9.55,c,2
60048.74,26.25,6.51,o,4
60051.25,29.83,5.27,o,6
60053.04,17.50,6.01,c,4
60053.77,20.25,8.62,o,4
60057.99,13.00,9.92,c,2
60058.00,18.00,13.00,c,1
60059.74,15.00,5.76,o,4
60062.72,26.00,39.20,o,2
60065.75,2.00,8.38,o,8
60066.98,35.57,11.23,o,7
60069.37,-6.00,9.77,o,8
60071.73,28.50,9.78,o,4
60072.98,6.25,8.14,o,4
60074.75,0.50,5.38,c,4
60075.98,26.25,12.10,o,4
60080.71,5.25,5.46,c,4
60081.96,40.75,21.23,o,4
60083.71,6.75,5.78,c,4
60084.97,-3.25,9.63,o,4
60092.71,28.25,8.93,o,8
60096.98,-5.00,34.85,o,4
60099.97,-12.75,21.17,o,4
60101.71,8.75,10.72,o,4
60102.97,20.25,14.89,o,4
60108.95,12.00,24.38,c,2
60111.96,-3.67,20.07,c,3
60130.43,9.50,35.71,o,2
60139.42,9.50,15.62,o,2
60141.18,-1.75,10.80,c,4
60148.43,12.33,13.76,o,3
60151.42,14.25,8.05,o,4
60153.17,1.25,7.47,c,4
60154.83,11.43,9.52,o,7
60159.18,-1.00,17.95,o,3
60170.41,-4.25,4.39,c,4
60183.16,5.80,6.68,o,5
60184.39,-9.25,7.12,o,4
60187.29,-19.25,20.39,o,4
60189.14,36.00,39.82,o,2
60201.14,2.50,28.87,c,4
60208.37,1.00,6.74,o,5
60210.11,-5.80,4.46,c,5
60211.37,1.00,6.88,o,4
60214.33,5.25,11.07,o,4
60216.99,-7.70,11.16,o,10
60219.11,-5.33,9.27,o,3
60222.11,-15.67,20.08,o,3
60226.34,3.50,5.64,o,4
60228.09,-7.50,5.78,o,4
60232.31,-0.25,6.51,o,4
60234.06,8.00,5.66,o,4
60237.05,2.00,5.88,o,4
60241.29,3.25,18.66,o,4
60243.45,-1.73,7.59,o,15
60245.19,13.00,18.30,o,4
60247.29,-26.00,95.00,o,1
60249.04,16.50,10.20,o,4
60253.35,6.00,15.00,o,1
60257.97,17.00,7.00,c,1
60258.01,-0.33,4.24,c,3
60259.29,-1.25,6.01,o,4
60261.01,-6.00,3.63,c,4
60262.26,7.25,5.51,o,4
60265.28,9.50,6.17,o,4
60269.22,2.00,5.97,o,7
60270.10,-5.00,11.00,c,1
60272.97,2.00,9.79,o,4
60275.96,2.33,14.21,o,3
60276.96,-14.67,13.86,o,3
60278.97,18.50,7.51,o,4
60281.23,7.71,4.21,o,7
60283.23,4.00,3.67,o,3
60284.96,-2.00,6.01,o,3
60286.22,-2.00,3.67,o,3
60289.07,-0.83,4.98,o,6
60291.98,5.00,3.89,o,7
60293.27,4.80,4.13,o,10
60295.93,5.50,5.14,o,4
60297.17,-0.50,7.14,o,4
60298.44,5.00,4.60,o,5
60300.71,1.57,6.14,o,7
60305.25,27.50,16.28,o,4
60311.96,-15.50,20.81,o,2
60313.20,13.75,6.81,o,4
60313.94,-7.00,4.13,c,4
60315.97,-6.17,6.69,o,6
60317.21,3.12,4.77,o,8
60321.18,2.33,6.93,o,3
60322.21,-9.50,5.26,o,4
60323.74,-6.60,3.85,c,5
60325.17,0.75,5.52,o,4
60328.19,-8.50,6.29,o,4
60332.67,-6.38,8.11,o,8
60334.54,-12.00,36.22,o,8
60337.53,1.38,6.23,o,8
60341.15,7.25,6.76,o,4
60342.15,6.00,5.00,o,8
60344.15,-6.71,15.10,o,7
60346.14,-5.25,7.70,o,4
60348.13,5.25,6.19,o,4
60350.50,2.25,4.07,o,8
60352.62,-5.25,3.59,o,8
60354.13,2.00,5.76,o,4
60357.05,-1.42,3.84,o,12
60359.36,2.25,4.78,o,8
60361.11,27.25,16.29,o,4
60362.47,-3.75,8.35,o,8
60364.60,4.88,8.35,o,8
60366.69,3.37,5.26,o,19
60369.13,11.75,7.76,o,4
60370.86,6.00,5.64,o,4
60371.85,3.20,3.92,c,5
60374.83,6.50,4.26,c,4
60377.81,-10.25,3.88,c,4
60380.58,3.00,4.71,o,8
60381.82,-11.00,19.01,c,2
60383.83,-1.00,5.80,c,4
60385.40,13.57,5.33,o,7
60386.95,-3.67,10.80,c,3
60388.57,9.25,6.52,o,8
60391.30,11.29,10.60,o,7
60393.46,-12.81,7.13,o,16
60395.39,11.00,201.61,o,7
60397.36,14.14,6.24,o,7
60399.80,12.50,6.14,o,4
60401.16,15.25,10.96,o,4
60404.04,-1.33,3.89,o,3
60407.04,4.33,4.46,o,3
60409.99,-0.50,7.11,o,2
60410.01,9.00,9.00,o,1
60412.74,-1.00,4.07,o,3
60415.85,-7.00,44.00,o,1
60417.75,12.75,8.05,o,4
60419.75,-0.50,7.89,o,4
60423.31,-15.71,19.94,o,7
60425.32,9.29,10.71,o,7
60427.80,-32.50,13.18,o,4
60428.02,-1.25,7.54,o,4
60429.77,-8.75,5.28,c,4
60431.98,15.50,8.03,o,4
60433.41,-1.57,6.14,o,7
60435.73,-9.00,4.88,c,4
60436.98,17.25,7.55,o,4
60439.72,-6.00,5.79,c,3
60441.55,30.86,43.60,o,7
60442.64,2.67,7.97,o,9
60447.99,2.00,22.00,o,1
60449.13,5.29,9.90,o,7
60450.72,45.25,13.76,o,4
60454.71,6.25,19.20,o,4
60461.96,-5.00,11.65,c,3
60462.70,8.50,15.57,o,2
60463.97,-10.00,22.00,c,1
60474.70,11.67,31.08,o,3
