# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58459.60,24.00,10.41,o,4
58465.62,-6.00,28.11,o,3
58467.62,7.50,62.17,o,6
58469.66,7.00,30.08,o,3
58471.65,-17.38,9.48,o,8
58473.64,-13.67,37.90,o,3
58475.62,-31.00,56.57,o,2
58479.59,15.62,10.41,o,8
58483.63,-21.62,8.51,o,8
58485.64,7.00,12.95,c,7
58487.63,-10.25,6.33,o,8
58489.63,33.57,13.86,c,7
58491.57,-9.62,6.35,o,8
58493.56,4.00,14.52,c,6
58495.62,-16.62,5.72,o,8
58497.56,-8.33,12.18,o,9
58503.56,-23.33,35.84,o,3
58507.51,7.00,18.89,o,3
58519.53,-21.25,10.15,o,4
58523.53,-6.75,10.18,o,4
58527.50,-23.00,10.48,o,6
58531.52,-11.88,12.75,o,8
58539.50,13.00,10.00,o,7
58543.46,0.00,6.01,o,12
58547.46,-0.75,64.90,o,8
58551.46,18.14,8.07,o,7
58555.45,63.25,13.53,o,4
58559.43,172.83,13.73,o,6
58567.39,260.50,132.71,o,4
58571.41,495.38,7.92,o,8
58575.41,503.78,8.98,o,9
58577.40,609.60,7.98,c,5
58579.39,656.67,6.46,o,12
58581.39,658.67,10.03,c,3
58583.39,676.00,17.69,o,2
58599.35,626.67,12.02,o,3
58605.35,493.00,18.00,c,1
58611.28,543.00,10.78,o,4
58613.27,541.50,7.73,o,8
58619.27,502.88,17.95,o,8
58621.27,495.38,28.19,o,8
58623.27,461.43,13.13,o,7
58625.27,455.17,15.76,o,6
58627.25,427.17,9.63,o,6
58633.25,277.67,48.46,c,3
58635.25,397.25,61.15,o,4
58637.26,252.50,11.72,c,2
58821.61,2.67,12.65,o,3
58825.62,-1.00,5.51,o,8
58829.61,-28.00,14.88,o,8
58837.62,-23.00,15.24,o,2
58839.56,-21.50,42.32,o,2
58841.64,-4.88,4.54,c,8
58845.61,8.60,5.84,c,5
58851.56,-12.70,12.73,o,10
58855.53,16.00,12.29,o,8
58867.49,-4.00,8.15,o,4
58871.49,8.75,8.26,o,4
58875.48,10.00,8.14,o,4
58883.45,7.00,15.44,o,3
58887.45,-24.50,22.88,o,4
58913.44,-23.00,13.12,o,4
58919.34,-45.25,21.36,o,4
58939.27,-58.00,58.00,o,1
58941.38,-19.38,7.31,o,8
58955.26,-19.00,11.08,o,4
58959.25,-12.75,9.79,o,4
58961.33,-14.08,4.08,c,12
58971.31,-22.25,10.58,o,4
58973.29,-26.86,13.64,o,7
58975.33,-23.75,18.16,o,4
58981.27,-7.60,6.26,c,5
