# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59222.98,-4.83,10.42,o,6
59224.60,-24.00,4.76,c,4
59226.59,6.75,4.51,c,4
59228.57,-16.50,4.29,c,4
59230.55,-16.75,4.13,c,4
59232.56,11.75,4.89,c,4
59234.58,2.75,8.52,c,4
59244.48,-17.00,11.54,o,4
59248.63,6.25,12.24,o,4
59252.61,-16.25,8.27,o,4
59254.65,-12.50,12.82,c,4
59256.59,-25.75,4.26,c,4
59258.81,-0.75,3.11,c,12
59261.22,9.09,3.02,c,11
59262.54,-1.25,4.08,c,8
59264.50,73.67,63.78,c,3
59266.65,68.00,80.00,c,1
59268.49,-6.00,9.25,o,3
59270.49,-9.75,10.04,o,4
59276.52,8.50,8.42,o,4
59279.17,14.50,13.53,o,6
59280.49,9.50,3.91,o,8
59284.58,-17.67,8.18,o,3
59287.44,3.33,7.35,o,3
59288.51,-18.00,7.48,o,4
59292.48,2.00,5.83,o,5
59296.58,6.50,5.90,o,4
59304.92,11.88,10.42,o,8
59306.93,34.25,4.73,o,8
59308.39,32.50,4.51,c,4
59311.38,27.50,4.51,c,4
59312.43,36.75,4.02,c,4
59322.92,547.25,5.54,o,8
59324.39,608.50,7.01,o,4
59326.84,756.25,7.56,o,8
59331.41,875.50,17.67,o,4
59332.96,854.62,10.79,o,8
59334.91,802.62,6.79,o,8
59336.41,704.75,9.50,o,4
59338.42,579.00,10.15,c,4
59342.36,431.50,6.39,c,4
59344.35,419.25,6.01,o,4
59346.35,296.25,5.76,c,4
59348.34,314.75,6.02,o,4
59349.34,242.75,6.14,c,4
59350.38,231.00,8.51,c,4
59351.33,259.25,6.52,o,4
59352.66,263.92,4.32,o,12
59354.35,266.75,9.18,o,4
59359.34,211.75,10.94,o,8
59360.80,198.57,14.84,o,7
59362.35,193.25,11.53,o,4
59364.31,191.00,5.89,o,4
59366.33,166.25,6.67,o,4
59368.34,101.50,4.76,c,4
59370.30,166.25,6.39,o,4
59372.30,84.50,4.26,c,4
59374.30,135.25,6.44,o,4
59376.32,86.50,4.76,c,4
59378.34,134.25,8.61,o,4
59380.28,69.25,5.28,c,4
59382.27,118.00,9.97,o,4
59386.32,138.00,47.95,o,5
59388.27,111.75,13.65,o,4
59390.60,78.75,8.95,o,12
59392.30,73.75,6.42,o,4
59394.28,34.00,5.92,c,4
59396.29,60.25,6.55,o,4
59400.26,46.75,6.60,o,4
59402.28,17.00,6.01,c,4
59416.25,-13.00,21.00,o,1
59418.26,17.25,20.82,o,4
59424.25,3.00,13.06,c,4
59534.64,-12.25,18.99,o,4
59540.64,-10.67,22.67,o,3
59542.64,-4.75,9.51,o,4
59560.61,-29.25,9.15,o,4
59580.58,-7.25,7.64,o,4
59584.56,3.75,7.27,o,4
59586.57,-8.12,4.02,c,8
59588.57,-15.00,7.25,o,4
59590.66,-17.00,4.45,c,7
59591.49,-45.00,14.43,o,3
59592.33,-19.12,4.76,o,8
59595.56,-21.50,11.63,o,4
59596.52,-7.50,13.77,o,4
59599.47,-16.50,12.02,o,6
59600.57,-23.00,19.41,o,4
59604.90,13.75,7.06,o,12
59607.09,-12.62,5.04,o,8
59608.65,-49.25,8.29,o,4
59610.56,-29.25,6.01,o,4
59612.60,-6.00,6.02,c,4
59614.59,-18.00,6.27,o,4
59616.69,-17.60,5.47,c,5
59618.54,-19.75,6.89,o,4
59620.53,-5.75,5.04,c,4
59622.60,-19.60,11.45,o,5
59624.54,-11.00,8.57,o,4
59627.22,-62.75,22.34,o,4
59632.59,-37.25,8.16,o,4
59634.89,-22.50,4.75,o,8
59636.49,-29.00,5.94,c,3
59638.48,-5.00,7.51,o,3
59640.53,-12.25,5.41,c,4
59642.52,-16.00,7.91,o,3
59643.22,-8.50,17.35,c,4
59644.52,-24.25,9.63,c,4
59646.57,-5.00,18.00,o,1
59648.49,-5.25,5.27,c,4
59650.87,-5.75,5.28,o,8
59652.94,0.00,0.00,o,3
59654.39,23.00,41.00,o,2
59659.28,-2.67,15.70,o,3
59660.75,-23.83,8.05,o,12
59662.76,-13.70,4.93,o,10
59664.57,-28.25,15.06,o,8
59666.86,-27.50,4.62,o,8
59668.40,-9.50,6.51,c,4
59670.39,0.25,7.51,o,4
59672.90,-27.67,15.10,c,3
59675.14,-17.50,6.14,o,4
59676.43,-14.75,6.18,c,4
59679.10,-21.83,3.86,o,12
59680.38,-30.00,11.00,c,4
59681.14,-38.00,32.00,o,5
59682.33,-36.78,12.34,o,9
59687.60,-33.75,9.26,o,8
59688.94,-11.27,7.54,o,11
59690.60,-19.52,4.24,o,23
59692.41,-18.67,14.28,c,3
59693.17,-11.00,6.65,o,4
59694.59,-24.43,3.51,o,23
59696.36,-9.25,6.14,c,4
59697.17,-41.75,7.51,o,4
59699.07,-31.47,5.37,o,15
59700.35,-23.00,11.06,c,4
59701.00,-30.38,20.19,o,8
59703.15,-23.50,3.80,o,12
59704.34,-39.75,25.72,c,4
59705.15,-0.50,7.08,o,4
59706.12,-15.50,6.39,o,4
59709.11,0.75,8.54,o,4
59710.24,-21.88,14.98,o,8
59714.75,-17.12,26.49,o,8
59716.37,0.00,12.36,o,4
