# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58630.43,-11.50,7.15,o,4
58634.44,18.50,5.41,o,8
58636.43,1.50,5.82,c,4
58638.43,-3.29,9.97,o,7
58642.45,17.00,8.77,o,4
58644.41,5.50,5.24,o,8
58646.40,10.50,11.42,o,4
58648.39,-10.00,7.40,o,8
58650.45,17.50,12.05,o,8
58654.39,-11.62,8.44,o,8
58656.38,18.25,6.69,o,4
58658.40,3.75,15.82,o,4
58660.40,-23.00,29.49,o,3
58662.42,-0.25,7.64,o,4
58664.43,9.75,4.93,c,4
58666.54,-14.67,10.53,o,3
58668.48,6.25,5.15,c,4
58672.31,4.62,5.84,o,8
58675.39,3.50,7.94,o,8
58676.33,-0.50,6.82,o,6
58678.35,25.14,11.95,o,7
58680.35,19.12,7.80,o,8
58682.37,37.33,17.58,o,3
58684.32,7.25,6.85,o,4
58688.34,6.50,4.89,o,4
58690.35,-2.25,5.81,o,4
58694.34,1.25,6.38,o,4
58696.34,6.67,5.83,c,3
58700.37,4.00,4.15,c,4
58704.30,-8.00,9.70,c,3
58708.37,17.00,33.95,c,2
58710.30,9.25,23.11,o,4
58714.33,6.33,12.70,o,3
58716.32,8.50,4.88,o,4
58720.28,13.00,71.69,c,2
58724.33,24.50,5.26,c,4
58726.25,43.25,6.63,o,4
58728.25,63.00,5.27,c,4
58730.35,92.75,7.83,o,4
58732.31,91.00,8.10,o,4
58734.25,87.50,8.57,o,4
58740.25,79.20,16.13,o,5
58746.25,116.25,6.38,o,4
58748.28,114.00,6.64,o,4
58756.27,103.75,6.35,c,8
58762.25,111.00,7.54,o,4
58772.25,88.00,16.82,o,4
58788.21,48.00,9.03,o,4
58870.63,-2.00,6.17,o,4
58872.66,-6.75,10.23,c,4
58878.65,9.12,3.83,o,8
58894.64,-12.00,6.41,o,4
58902.66,-23.50,13.71,o,4
58910.64,10.75,5.64,o,4
58932.61,2.50,5.41,c,4
58934.61,5.00,66.00,o,1
58938.59,3.80,5.88,o,5
58942.61,10.00,6.57,o,8
58946.61,-2.50,126.95,o,2
58950.56,2.25,8.28,o,4
58958.63,4.60,9.48,o,5
58960.55,-8.38,3.91,c,8
58962.57,1.50,15.01,o,2
58964.50,-13.50,7.44,c,4
58966.47,-3.00,6.77,o,4
58968.46,1.25,6.20,c,4
58970.51,-2.25,4.70,o,8
58972.54,-3.50,8.28,o,4
58974.47,-1.80,8.63,o,5
58976.44,-2.33,19.01,o,3
58978.49,4.25,9.16,o,4
58980.47,33.00,30.09,o,5
58982.50,-2.00,6.14,o,4
58984.51,-0.75,4.20,o,8
58986.53,2.00,4.81,o,4
58988.53,-10.75,5.26,c,4
58990.43,-4.75,6.59,o,4
58992.42,-5.75,5.00,c,4
58994.49,3.50,6.52,o,4
58996.57,-8.00,7.78,c,2
58998.45,-4.00,6.92,o,4
59000.43,-7.50,7.15,o,4
59002.44,-3.75,8.99,o,4
59004.55,0.75,13.23,o,4
59006.38,-11.25,8.34,o,4
59008.44,-4.00,27.54,o,4
59010.93,3.62,5.04,o,8
59014.40,-2.75,5.01,o,4
59015.48,-2.00,5.41,c,4
59018.41,-20.50,11.67,o,2
59026.37,-8.25,7.14,o,4
59028.41,-9.75,6.85,o,4
59030.36,-20.00,6.83,o,4
59032.35,2.75,9.51,o,4
59034.38,-11.00,10.12,o,7
59036.39,0.75,12.27,o,4
59038.35,-21.86,7.02,o,7
59042.36,-40.50,18.11,o,4
59046.35,-20.00,29.54,o,4
59048.38,-7.57,4.22,c,7
59050.34,0.25,3.62,o,8
59054.33,2.43,3.70,o,7
59058.34,-1.75,5.64,o,4
59060.34,-21.75,7.66,o,4
59062.32,-19.25,8.69,o,4
59064.29,-5.00,11.01,o,4
59068.35,-9.00,9.20,o,4
59070.29,-12.75,5.67,o,4
59072.30,-8.50,4.51,c,4
59074.34,-5.62,3.79,o,8
59076.31,0.29,3.69,c,7
59078.28,-7.62,4.39,o,8
59080.27,-4.00,3.83,c,8
59082.33,-5.75,6.44,o,4
59084.26,-7.00,6.16,o,4
59086.27,-10.00,6.39,o,4
59088.26,-3.50,6.75,o,4
59090.27,3.25,7.51,o,4
59092.31,-19.25,9.63,o,4
59094.25,-10.25,28.21,o,4
59096.26,-7.00,6.91,o,4
59098.26,5.25,4.64,o,4
59100.33,-6.75,6.68,c,4
59102.24,5.50,6.27,o,4
59104.26,-5.00,5.43,c,4
59106.27,-7.00,5.04,o,4
59108.28,0.00,6.88,c,4
59110.23,-1.50,15.95,o,2
59122.24,5.33,11.56,o,3
59130.25,-10.00,6.07,o,4
59134.24,22.50,19.56,o,2
59138.23,-3.25,8.31,o,4
59140.21,-13.50,16.28,c,2
59156.20,-2.00,13.43,o,4
