# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59391.60,21.00,17.18,o,4
59393.60,-29.00,17.22,o,4
59395.60,-17.00,12.33,o,3
59399.60,-7.62,6.61,o,8
59403.59,-8.75,5.82,o,4
59411.61,-14.00,9.32,o,4
59415.57,-8.50,7.41,o,4
59417.57,15.25,12.17,o,4
59421.57,-10.00,16.77,o,4
59423.59,0.75,9.88,o,4
59425.59,3.25,8.38,o,4
59427.59,18.00,6.99,o,3
59429.54,4.00,6.27,o,4
59431.58,9.50,4.51,c,4
59433.58,-9.00,4.89,o,4
59435.56,2.00,4.13,c,4
59437.63,1.00,10.64,o,4
59439.56,44.00,4.39,c,4
59441.56,55.75,5.78,o,4
59443.58,82.50,4.39,c,4
59445.51,76.50,9.54,o,4
59447.47,99.33,15.41,o,3
59449.63,95.00,18.14,o,5
59451.53,96.25,10.69,o,4
59453.57,97.40,9.00,o,5
59455.53,120.75,7.01,o,4
59457.52,101.80,6.15,o,5
59461.55,106.25,5.00,c,4
59463.51,64.00,6.03,o,5
59465.59,75.25,5.26,c,4
59467.57,92.25,212.77,o,4
59471.48,75.75,7.79,o,4
59479.46,99.00,20.13,o,4
59481.53,70.00,15.51,o,4
59483.52,58.00,10.70,o,4
59485.48,55.50,7.01,o,4
59487.44,49.00,9.06,o,3
59489.44,36.75,5.88,o,4
59491.43,43.00,8.52,o,4
59493.42,37.75,6.13,o,4
59495.49,43.25,16.54,o,4
59501.43,34.14,5.57,o,7
59503.39,30.25,13.64,o,4
59505.38,83.50,47.28,o,6
59509.43,77.75,45.40,o,4
59511.47,11.33,26.62,o,3
59513.39,10.00,7.15,o,4
59515.40,3.50,7.91,o,4
59517.44,20.75,4.89,c,4
59519.35,-0.50,7.90,o,4
59523.39,-2.25,7.52,o,4
59527.39,-22.00,8.98,o,4
59529.35,7.25,6.06,o,4
59531.33,-15.50,16.77,o,4
59535.36,-10.33,20.95,o,3
59537.35,12.00,5.38,o,4
59539.36,19.75,12.19,o,4
59541.34,3.25,9.69,o,4
59543.36,7.50,7.51,o,4
59545.34,6.75,6.91,o,4
59547.35,-3.86,6.93,o,7
59551.32,-8.12,5.98,o,8
59559.29,-15.00,14.38,o,4
59563.30,-4.00,16.08,o,4
59565.35,-50.00,175.00,o,1
59567.28,-75.50,132.02,o,2
59585.28,-7.50,7.27,c,4
59587.26,14.25,9.51,o,4
59589.27,3.25,9.79,o,4
59591.39,8.00,11.73,o,4
59595.24,1.33,11.92,o,6
59599.23,-4.00,55.57,o,7
59603.24,-2.75,9.25,o,4
59603.83,-5.50,8.40,c,4
59606.82,15.00,6.14,c,4
59614.80,-11.25,6.75,c,4
59619.80,-18.50,11.51,o,4
59627.79,33.67,21.28,o,3
59630.03,9.75,14.72,o,4
59633.03,6.25,9.75,c,4
59643.76,-4.25,22.05,o,4
59709.41,9.50,15.57,o,2
59723.16,-7.25,11.67,o,4
59731.17,-10.00,9.12,o,4
59736.17,-8.33,15.60,o,3
59741.40,-17.00,6.55,o,3
59767.15,-3.67,6.15,o,9
59768.78,-9.75,5.02,o,8
59776.07,-12.00,11.95,o,4
59781.36,5.50,5.90,o,4
59785.40,-13.50,6.31,o,4
59786.37,-7.50,7.57,o,4
59789.35,2.25,6.14,c,4
59792.86,-1.90,2.77,c,10
59796.11,2.25,3.88,c,4
59800.51,-9.29,6.80,o,7
59802.26,33.00,85.91,o,2
59805.25,13.67,15.85,o,3
59807.11,-3.25,20.57,o,4
59808.68,-8.88,5.53,o,8
59812.08,-16.60,5.93,o,5
59813.25,-5.75,4.29,c,4
59814.32,9.50,4.51,c,4
59815.03,1.50,5.41,o,4
59818.26,6.25,3.76,c,4
59819.00,2.50,4.39,o,4
59820.13,18.00,12.75,o,2
59823.99,-9.25,5.51,o,4
59826.18,0.50,6.04,o,4
59828.88,1.80,5.17,o,10
59831.43,-0.50,11.65,o,8
59832.23,-28.50,15.76,o,4
59834.57,2.25,9.25,o,8
59836.06,3.25,10.28,o,4
59837.82,4.00,6.59,c,5
