Nested Sampling Global Log-Evidence           :   -0.554405620240992221E+02  +/-    0.390336904416770714E+00
Nested Importance Sampling Global Log-Evidence:   -0.604164097016011752E+02  +/-    0.966319664277796725E-01

Dim No.       Mean        Sigma
   1    0.104286495906015589E+00    0.246412238219805083E-01
   2   -0.140679510445986917E+02    0.226547541932921703E+01
   3    0.850515403969349437E+00    0.672676652949641407E-01
   4    0.113600330630685398E+01    0.298589105878532268E+00
   5    0.763142439158851979E-02    0.283751457701552755E-02
   6    0.188151704697195798E+01    0.337541555434507368E-01
   7   -0.150738423821790479E+01    0.389046877372437039E+00
   8   -0.111419747148952170E+00    0.852474923776303795E-01
   9   -0.334340759281750266E+01    0.405088498777593831E+01
  10   -0.146733671188234827E+00    0.153599481803034371E+00
  11   -0.624308747828796057E-01    0.158388453900971921E+00
  12   -0.184427558876215980E+00    0.234616935790312009E+00
  13   -0.519309883354790114E+00    0.122555032842053685E+00
  14   -0.105825356420624006E+01    0.459560938581498324E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.831349478672371439E-01
   2   -0.149216736277027344E+02
   3    0.874614448979969428E+00
   4    0.135932831417651911E+01
   5    0.629612073101094415E-02
   6    0.188358978624605644E+01
   7   -0.112708433600343882E+01
   8   -0.113771375784216811E-01
   9    0.128013953333512420E+01
  10   -0.307599264146355911E+00
  11   -0.150735985385509280E+00
  12   -0.583155557739020614E+00
  13   -0.726298677802851511E+00
  14   -0.106339113549261444E+01

MAP Parameters
Dim No.        Parameter
   1    0.831349478672371439E-01
   2   -0.149216736277027344E+02
   3    0.874614448979969428E+00
   4    0.135932831417651911E+01
   5    0.629612073101094415E-02
   6    0.188358978624605644E+01
   7   -0.112708433600343882E+01
   8   -0.113771375784216811E-01
   9    0.128013953333512420E+01
  10   -0.307599264146355911E+00
  11   -0.150735985385509280E+00
  12   -0.583155557739020614E+00
  13   -0.726298677802851511E+00
  14   -0.106339113549261444E+01
