          MJD  MJDbin          uJy         duJy         stdev        x2  Nclip  Ngood  Nexcluded     Mask         m  dm
          NaN 57566.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57567.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57568.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57569.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57570.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57571.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57572.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57573.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57574.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57575.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57576.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57577.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57578.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57579.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57580.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57581.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57582.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57583.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57584.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57585.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57586.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57587.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57588.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
          NaN 57589.5          NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN NaN
