Nested Sampling Global Log-Evidence           :   -0.168147307368703522E+02  +/-    0.486953022592845841E+00
Nested Importance Sampling Global Log-Evidence:   -0.216931363108388666E+02  +/-    0.426315769173226042E-01

Dim No.       Mean        Sigma
   1    0.770907771473125364E-01    0.327897156572150295E-01
   2   -0.595566453735416879E+01    0.779061406385846755E+00
   3    0.529087635552861091E+00    0.817635036011937766E-01
   4    0.882024491861913229E+00    0.132692735634455328E+00
   5    0.999148697936838061E-02    0.430337798290130087E-02
   6    0.127982373415320549E+01    0.539188259069716957E-01
   7   -0.176474940272530456E+01    0.444702397789820680E+00
   8   -0.618001647225877790E-01    0.400714614507492600E-01
   9   -0.639032619683888137E+00    0.137206168876593426E+01
  10   -0.903539511021119734E-01    0.151772139900400838E+00
  11   -0.155963310828817949E-01    0.157063635939935026E+00
  12   -0.233345960821371490E+00    0.215713471475774715E+00
  13    0.132171923833908096E-01    0.865081332111560797E-01
  14   -0.106024780752893077E+01    0.595769784328536306E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.115342699720922551E+00
   2   -0.526717699881165657E+01
   3    0.507692909588372876E+00
   4    0.671856432842455109E+00
   5    0.183794924700977150E-01
   6    0.127265207418382653E+01
   7   -0.190535050843739695E+01
   8   -0.341882679219678715E-01
   9   -0.174218224144455203E+00
  10    0.735162503653108423E-01
  11   -0.877584520732699880E-01
  12   -0.231246740825315961E+00
  13    0.393053633533479996E-01
  14   -0.101140292536599552E+01

MAP Parameters
Dim No.        Parameter
   1    0.115342699720922551E+00
   2   -0.526717699881165657E+01
   3    0.507692909588372876E+00
   4    0.671856432842455109E+00
   5    0.183794924700977150E-01
   6    0.127265207418382653E+01
   7   -0.190535050843739695E+01
   8   -0.341882679219678715E-01
   9   -0.174218224144455203E+00
  10    0.735162503653108423E-01
  11   -0.877584520732699880E-01
  12   -0.231246740825315961E+00
  13    0.393053633533479996E-01
  14   -0.101140292536599552E+01
