# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
57928.61,-396.00,25.00,o,1
57932.62,-285.00,34.00,o,1
57952.63,-441.00,88.00,o,1
57956.63,-398.50,33.59,o,2
57958.63,-326.00,16.00,o,1
57964.61,-357.00,6.19,o,3
57966.62,-358.50,10.44,o,2
57968.63,-359.50,13.46,o,2
57973.59,-374.33,12.34,o,3
57975.62,-378.33,8.75,o,3
57977.61,-370.00,9.14,o,4
57979.62,-375.75,7.11,o,4
57981.60,-365.50,5.17,o,4
57983.61,-23.25,3.65,c,4
57985.59,-382.25,4.05,o,4
57987.59,-15.75,4.16,c,4
57989.58,-356.25,8.51,o,4
57991.61,-22.75,4.38,c,4
57993.58,-365.00,5.80,o,4
57995.60,-357.50,17.89,o,2
57997.58,-361.00,5.39,o,4
57999.61,-390.25,5.26,o,4
58001.54,-371.75,16.14,o,4
58003.53,-379.33,16.25,o,3
58005.53,-379.50,15.84,o,4
58007.55,-392.75,7.42,o,4
58009.53,-382.67,6.40,o,3
58013.50,-381.00,5.22,o,3
58019.51,-17.25,5.00,c,4
58021.50,-398.75,4.27,o,4
58023.52,-378.25,4.13,o,4
58025.50,-300.50,7.52,o,4
58027.00,-257.12,4.30,o,8
58029.51,-122.50,13.84,o,4
58032.52,77.25,43.49,o,4
58035.49,518.50,458.15,o,2
58045.45,231.00,6.41,o,4
58049.46,259.00,7.14,o,4
58053.44,306.25,7.52,o,4
58055.44,320.75,6.51,o,4
58057.45,320.00,11.46,o,4
58059.42,300.75,27.76,o,4
58063.44,344.50,12.38,o,4
58065.40,303.00,36.08,o,3
58067.41,307.67,7.13,o,3
58071.42,575.50,7.04,c,4
58073.39,317.75,6.75,o,4
58075.41,540.00,6.03,c,4
58076.45,525.00,23.00,c,1
58077.39,284.75,6.64,o,4
58079.41,514.50,5.77,c,4
58081.38,279.25,6.89,o,4
58082.40,209.00,154.00,o,1
58093.37,226.25,10.64,o,4
58097.37,227.33,7.72,o,3
58099.35,192.75,7.56,o,4
58101.34,183.25,6.64,o,4
58105.33,144.00,9.92,o,2
58111.39,120.25,6.55,o,4
58114.38,104.50,19.63,o,4
58117.32,123.75,13.53,o,4
58118.87,85.50,12.05,o,8
58120.65,74.33,22.02,o,6
58123.34,64.50,7.79,o,4
58124.84,48.88,5.03,o,8
58126.82,26.50,4.68,o,8
58129.32,30.00,6.14,o,4
58130.64,-2.75,4.45,o,12
58133.30,-21.75,6.66,o,4
58135.33,214.25,6.04,c,4
58137.30,-36.50,6.27,o,4
58141.26,-41.50,8.28,o,4
58143.25,-53.25,14.21,o,4
58147.26,-81.50,188.81,o,2
58149.26,-42.00,13.02,o,4
58153.26,-81.00,6.63,o,4
58161.26,-112.33,8.67,o,3
58167.27,119.00,6.80,c,4
58170.26,-138.25,9.40,o,4
58183.27,-171.00,21.00,o,1
58327.64,-296.00,62.00,o,1
58351.62,-356.00,7.00,o,1
58361.61,-364.67,12.15,o,3
58363.62,-353.33,9.17,o,3
58365.60,-367.25,4.50,o,4
58367.60,-363.50,3.44,o,4
58369.59,-352.75,5.14,o,4
58371.59,-354.67,4.48,o,3
58375.59,-18.75,5.28,c,4
58377.57,-368.00,6.13,o,4
58379.56,-363.25,4.76,o,4
58383.57,-359.00,18.47,o,4
58385.50,-374.25,13.31,o,4
58386.73,-367.80,15.18,o,5
58389.54,-360.75,19.22,o,4
58391.55,-349.00,13.48,o,3
58393.54,-379.75,7.34,o,4
58395.56,-20.75,5.63,c,4
58397.53,-373.00,5.67,o,3
58399.54,-14.25,5.63,c,4
58401.53,-369.25,6.01,o,4
58403.53,-8.00,40.39,c,4
58407.50,-363.75,4.15,o,4
58409.49,-388.33,4.84,o,3
58413.48,-369.00,13.48,o,3
58417.47,-380.75,14.77,o,4
58423.47,-372.50,4.41,o,4
58427.48,-12.75,4.38,c,4
58431.47,-12.62,3.60,c,8
58433.43,-501.00,46.40,o,3
58435.46,-1.50,15.23,c,2
58437.44,-399.67,29.46,o,3
58449.41,-372.50,8.77,o,4
58451.40,-376.00,4.64,o,4
58453.37,-371.73,4.51,o,11
58455.37,-25.00,4.29,c,4
58459.38,-28.25,4.51,c,4
58461.36,-384.50,5.33,o,4
58465.34,-377.25,5.91,o,4
58471.34,-395.33,23.27,o,3
58473.38,-412.00,27.32,o,4
58474.43,-390.50,53.46,o,4
58479.32,-362.50,5.11,o,4
58483.33,-355.00,10.31,o,2
58485.31,-377.14,4.78,o,7
58487.33,-17.00,3.79,c,7
58489.30,-364.67,8.67,o,3
58491.32,-13.38,3.38,c,8
58493.30,-376.00,5.89,o,4
58495.30,-381.86,3.64,o,7
58497.29,-367.38,6.03,o,8
58499.28,-355.50,7.76,o,4
58501.28,-358.25,11.77,o,4
58503.30,-372.75,21.08,o,4
58504.80,-362.00,9.00,o,8
58507.28,-375.75,5.62,o,4
58509.28,-363.50,7.27,o,4
58513.26,-375.25,5.64,o,4
58517.24,-375.25,5.93,o,4
58519.29,-23.50,5.28,c,4
58523.27,-15.50,7.78,c,2
