# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
57833.57,-1.80,8.59,c,5
57835.61,-23.25,11.91,o,4
57837.56,0.00,6.99,c,5
57839.60,-43.50,10.14,o,4
57840.59,-47.25,11.25,o,4
57841.55,-12.40,7.17,c,5
57843.59,-31.50,11.88,o,4
57844.58,-51.25,12.17,o,4
57847.57,-45.00,12.18,o,4
57848.54,-64.00,14.48,o,3
57853.26,-17.80,82.10,o,5
57855.53,-155.00,94.00,o,1
57859.54,-43.75,15.54,o,4
57860.53,-19.00,13.79,o,4
57863.62,-123.00,32.00,o,1
57864.62,-21.50,24.70,o,2
57867.61,49.00,38.92,o,2
57868.61,-53.00,24.70,o,2
57869.61,9.67,6.57,c,3
57877.47,-31.00,5.78,o,4
57879.49,-27.33,16.06,o,3
57880.48,10.50,14.67,o,4
57883.51,-31.00,77.00,o,1
57884.88,-19.57,16.10,o,7
57887.47,22.00,10.67,o,4
57889.44,-19.25,7.08,o,4
57891.44,-4.00,8.67,o,3
57892.44,-10.75,6.26,o,4
57893.44,11.50,4.76,c,4
57895.44,-20.00,10.27,o,3
57896.44,-27.00,13.20,o,2
57899.42,-22.75,6.54,o,4
57900.42,-9.00,6.90,o,4
57901.43,3.60,3.85,c,5
57903.41,-22.67,7.52,o,3
57904.41,-13.67,9.25,o,3
57907.40,-7.00,7.89,o,4
57908.41,26.00,1078.00,o,1
57911.39,-53.75,110.36,o,4
57913.10,-3.62,13.38,o,13
57914.92,-10.75,10.31,o,8
57916.93,-10.11,4.86,o,9
57920.38,-5.50,5.27,o,4
57924.38,-10.75,5.39,o,4
57926.37,-2.75,4.51,o,4
57928.37,-20.00,6.74,o,3
57932.36,141.50,5.38,o,4
57936.35,208.00,8.51,o,4
57940.34,165.00,9.51,o,4
57942.34,119.25,9.53,o,4
57944.33,113.00,16.11,o,4
57946.32,82.00,5.36,o,4
57948.30,63.67,22.90,o,3
57950.30,52.67,5.59,o,3
57952.29,51.00,5.76,o,4
57956.28,33.25,7.89,o,4
57960.27,21.00,6.38,o,4
57964.27,19.00,7.64,o,4
57966.27,21.25,6.01,o,4
57971.27,-3.00,6.91,o,4
57973.26,-74.00,238.00,o,1
57975.27,4.00,6.19,o,4
57977.28,2.50,6.01,o,4
57979.28,4.25,4.02,o,4
57981.28,-7.25,5.66,o,4
57983.26,5.00,4.82,c,3
57985.28,-2.50,7.25,o,4
57987.25,9.50,10.55,c,2
57989.29,-4.50,7.51,o,4
57995.30,-21.67,18.02,o,3
58093.65,-26.33,26.70,o,3
58097.66,58.00,64.00,o,1
58101.66,-6.67,50.02,o,3
58105.67,-52.50,110.56,o,2
58117.66,-80.33,97.86,o,3
58121.59,-3.25,19.14,o,4
58149.55,-33.17,5.87,o,6
58163.67,-17.50,42.30,c,2
58167.67,103.00,530.00,c,1
58177.56,-12.71,33.57,o,7
58179.47,-30.25,15.19,o,8
58181.64,-6.00,65.48,o,8
58183.63,-2.75,14.08,o,4
58185.62,-1.75,13.86,o,4
58205.56,-24.00,9.12,o,4
58207.48,-26.33,9.05,o,12
58213.56,-20.75,9.67,o,4
58221.56,-30.25,5.30,o,8
58227.55,18.50,11.66,c,2
58231.50,-23.50,6.59,o,4
58243.49,-3.50,29.64,o,6
58247.50,-7.90,3.91,o,10
58249.50,-18.40,7.29,o,5
58251.61,6.50,10.63,c,2
58252.85,-4.33,6.99,c,3
58253.48,-19.50,6.77,o,4
58257.45,-20.17,4.19,o,12
58259.45,3.38,3.19,c,8
58261.43,-9.50,7.12,o,8
58263.46,14.00,81.83,o,3
58265.46,19.00,47.07,o,3
58269.42,-14.00,11.01,o,4
58271.44,-16.56,10.14,o,9
58273.43,-6.75,8.38,o,4
58275.43,-4.25,6.01,o,4
58277.44,-21.00,6.60,o,8
58279.43,4.62,3.76,c,8
58281.42,-7.00,7.01,o,4
58282.46,-4.50,6.27,o,4
58285.40,-7.00,6.93,o,3
58287.41,-4.33,5.44,c,3
58289.39,-0.50,7.64,o,4
58291.40,4.67,14.11,o,3
58293.39,-1.67,13.30,o,3
58295.39,-42.67,24.48,o,3
58297.38,-22.25,16.77,o,4
58299.34,-9.25,8.39,o,4
58303.37,-4.00,5.53,o,4
58307.39,-4.00,4.82,c,3
58311.38,-9.25,5.13,c,4
58313.33,-0.50,6.27,o,4
58315.36,-14.00,4.51,c,4
58317.29,-25.75,13.41,o,4
58321.29,-27.57,7.81,o,7
58323.27,-37.00,32.57,o,2
58325.29,-16.00,21.00,o,3
58327.07,-0.84,6.22,o,19
58329.26,1.25,16.01,o,4
58331.37,-110.00,282.00,c,1
58333.27,-14.50,10.81,o,6
58335.32,-16.71,4.34,c,7
58337.26,-10.50,7.56,o,4
58339.31,13.33,34.38,c,6
58341.26,-10.75,7.52,o,4
58347.28,-21.00,10.97,o,2
58351.28,-14.67,13.13,o,3
58361.29,-19.50,9.70,o,6
58365.29,12.00,14.41,o,4
58367.29,-0.33,9.48,o,3
58369.29,6.00,25.00,o,1
58371.28,-2.00,16.00,o,1
