# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59146.55,3.25,4.29,c,4
59147.47,3.50,5.53,o,4
59148.46,-22.75,34.99,o,4
59150.60,3.00,313.62,o,2
59156.99,0.25,6.24,o,8
59158.53,2.00,10.41,o,4
59160.86,-5.83,4.90,o,6
59163.40,-6.25,5.02,o,4
59167.43,-5.75,4.13,o,4
59170.44,-0.50,3.88,c,4
59173.43,-1.00,3.76,c,4
59178.92,-8.00,7.30,o,6
59180.36,-6.75,8.76,o,4
59184.50,3.00,17.58,o,3
59186.92,2.00,5.67,o,8
59189.43,-3.50,6.39,o,4
59190.94,-8.25,4.12,o,8
59192.43,3.00,5.89,o,4
59193.42,2.00,4.64,c,4
59194.91,4.75,2.71,c,8
59196.45,-1.67,7.70,c,3
59198.41,1.67,6.72,c,3
59200.47,1.00,8.00,c,1
59204.89,-6.12,3.93,o,8
59206.87,-1.00,4.61,o,8
59208.32,-6.00,8.28,o,4
59212.36,6.33,14.49,o,3
59216.88,-7.25,4.89,o,8
59218.42,-4.50,6.63,o,4
59219.36,4.50,3.40,c,4
59220.85,-2.88,2.70,c,8
59222.38,-1.50,4.13,c,4
59224.36,2.00,3.54,c,4
59226.36,3.75,4.50,c,4
59228.37,11.00,4.27,c,4
59230.32,21.75,4.63,c,4
59232.30,27.50,5.80,o,4
59234.35,45.50,93.69,o,2
59242.34,55.00,12.85,o,4
59244.76,68.86,6.33,o,7
59246.31,69.50,5.89,o,4
59248.35,90.75,3.90,c,4
59252.33,88.33,5.71,c,3
59256.32,95.25,4.39,c,4
59258.29,100.67,5.40,c,3
59260.28,107.75,3.90,c,4
59262.27,96.00,5.13,o,4
59264.29,104.00,70.00,o,1
59268.27,91.00,6.64,o,4
59275.29,100.50,5.92,o,4
59276.26,94.75,5.13,o,4
59278.26,90.50,12.75,c,2
59280.28,78.33,21.22,o,3
59284.23,81.00,12.53,o,2
59288.23,99.50,11.27,o,4
59304.24,75.00,6.14,o,4
59306.24,63.75,11.48,o,4
59436.61,6.00,4.62,c,3
59438.60,21.75,5.38,o,4
59440.63,3.00,10.12,c,3
59441.62,17.33,7.26,o,3
59442.62,5.25,4.93,o,4
59444.58,11.50,3.82,c,4
59447.59,10.00,7.76,o,4
59449.28,25.00,7.67,o,6
59450.62,21.00,11.82,o,4
59452.58,20.00,8.15,o,4
59454.57,-1.75,10.79,o,4
59456.61,11.00,19.14,o,2
59460.60,4.00,6.57,o,3
59462.59,4.75,4.27,c,4
59464.62,22.75,4.81,o,4
59466.57,10.00,4.13,c,4
59470.58,18.00,4.13,c,4
59474.59,20.00,6.13,o,4
59477.53,-1.50,14.04,o,4
59478.92,19.86,11.81,o,7
59481.04,21.25,18.00,o,8
59484.57,14.00,9.27,o,4
59486.54,14.00,7.52,o,3
59489.04,11.38,5.18,o,8
59490.55,16.75,6.01,o,4
59493.11,2.29,33.81,o,7
59494.53,11.75,6.52,o,4
59496.53,11.75,8.42,o,4
59498.51,14.25,5.39,o,4
59501.01,10.25,4.71,o,8
59503.48,6.75,8.38,o,4
59506.48,8.75,10.88,o,4
59508.96,36.50,12.17,o,8
59510.47,12.00,13.05,o,4
59513.03,14.38,5.96,o,8
59516.49,13.67,8.14,o,3
59518.55,15.50,5.53,o,4
59520.47,11.00,7.81,o,2
59522.48,7.75,3.76,c,4
59523.39,-3.75,7.91,o,4
59524.46,13.50,6.50,o,4
59525.54,13.00,5.51,c,4
59526.45,6.75,4.26,c,4
59527.40,3.00,7.77,o,4
59528.54,-0.50,16.40,o,4
59531.44,17.75,10.88,o,4
59532.40,68.00,202.00,o,1
59534.91,12.88,40.62,o,8
59539.01,14.12,19.06,o,8
59540.49,6.75,11.51,o,4
59542.96,10.38,5.56,o,8
59544.44,-4.00,14.29,o,3
59546.45,2.50,8.14,o,2
59559.43,8.25,7.91,o,4
59560.37,6.25,7.67,o,4
59563.38,-25.00,21.59,o,2
59581.90,6.25,5.27,o,4
59582.99,22.75,7.52,o,4
59584.35,3.50,6.40,o,4
59586.58,0.00,4.20,o,9
59588.29,15.50,7.38,o,4
59591.35,13.83,6.39,o,12
59592.35,3.75,13.25,o,4
59595.46,42.40,15.18,o,5
59596.35,22.75,14.65,o,4
59599.40,7.73,6.07,o,11
59600.80,17.86,7.28,o,7
59603.89,16.00,6.12,c,4
59604.74,8.86,5.20,o,7
59606.68,4.40,4.58,o,5
59608.28,3.00,5.90,o,4
59610.23,12.00,6.75,o,4
59614.27,12.25,6.26,o,4
59616.22,-11.50,12.13,o,4
59620.27,4.50,7.90,o,4
59622.26,15.00,10.01,o,4
59627.06,9.50,15.66,o,4
59628.60,7.14,8.88,o,7
59630.30,-3.25,7.15,o,4
59632.23,2.25,8.46,c,4
59656.24,40.00,44.48,o,2
59684.74,-49.25,26.06,o,4
59686.85,11.00,26.10,o,8
