# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58745.58,-2.50,15.24,o,4
58751.55,-9.75,4.93,o,4
58753.63,1.00,4.13,c,4
58755.60,-3.50,4.92,o,4
58761.60,-0.50,2.66,c,8
58763.51,-19.00,11.30,o,5
58765.61,9.00,5.22,c,3
58769.49,-3.00,19.90,o,4
58771.55,-5.75,15.15,o,4
58775.54,41.67,185.60,o,3
58777.56,-5.67,7.70,o,3
58779.53,-0.25,5.01,o,4
58781.42,-2.00,4.38,c,4
58783.51,-6.00,4.88,o,4
58785.40,6.67,5.59,c,3
58787.48,-1.50,5.01,o,4
58789.46,-0.75,3.88,c,4
58791.48,15.00,12.60,o,3
58794.91,-8.00,6.29,o,8
58796.92,-5.38,10.84,o,8
58799.45,45.75,17.79,o,4
58801.47,-6.25,17.66,o,4
58803.50,-1.33,9.05,o,3
58807.47,-7.00,5.52,o,4
58811.51,2.75,4.54,o,4
58813.55,1.00,4.16,c,4
58815.42,-4.25,4.51,o,4
58817.49,-22.00,13.00,c,1
58819.42,8.50,21.08,o,4
58821.44,-10.75,4.76,o,4
58824.88,-10.75,5.77,o,8
58827.41,10.00,12.29,o,4
58828.93,-28.25,21.90,o,8
58833.41,12.50,7.89,o,4
58837.41,15.50,7.05,o,4
58839.37,31.00,17.29,o,3
58841.39,39.50,4.42,c,4
58845.40,50.25,4.18,c,4
58851.43,50.88,4.94,o,8
58855.31,81.00,22.00,o,1
58867.40,56.50,6.49,o,4
58869.34,42.50,12.64,c,6
58871.29,51.50,5.78,o,4
58873.37,27.33,7.14,c,6
58875.38,65.00,7.26,o,4
58877.26,45.75,6.07,o,4
58879.31,28.75,20.89,o,4
58881.26,53.00,7.82,o,4
58883.38,47.75,11.89,o,4
58887.33,21.50,16.77,o,4
58888.30,28.25,13.64,o,4
58901.30,21.50,7.07,c,2
58903.29,37.00,6.14,o,4
58905.25,40.50,6.26,o,4
58915.27,61.75,11.37,o,4
58917.27,74.33,20.64,o,3
58919.23,58.25,7.33,o,4
59063.61,63.00,27.31,o,2
59069.62,68.00,18.74,o,2
59073.62,84.50,8.05,o,6
59075.62,84.60,17.79,o,5
59083.61,79.00,8.14,o,2
59091.59,71.67,9.07,o,3
59093.59,70.33,10.60,o,3
59095.56,66.50,11.16,o,4
59097.10,87.25,7.08,o,8
59099.59,92.50,8.17,o,4
59101.60,86.75,7.50,o,4
59103.57,82.25,6.41,o,4
59105.53,88.50,6.55,o,4
59107.59,67.75,6.14,o,4
59109.58,39.50,4.13,c,4
59111.51,69.00,8.04,o,4
59113.61,45.50,6.62,c,4
59115.54,83.25,5.66,o,4
59117.56,48.25,5.01,c,4
59119.52,73.00,6.45,o,4
59121.50,82.75,11.81,o,4
59123.51,91.00,11.59,o,3
59125.56,74.75,10.14,o,4
59127.53,62.00,10.02,o,4
59129.55,91.25,7.32,o,4
59131.52,69.25,5.52,o,4
59133.52,69.25,5.26,o,4
59135.52,28.50,114.85,o,2
59137.53,40.25,4.63,c,4
59139.51,57.50,27.02,o,4
59141.48,46.00,9.85,c,2
59143.47,75.00,113.00,o,1
59145.50,34.25,4.38,c,4
59147.47,75.50,5.88,o,4
59154.48,84.00,15.46,o,4
59157.46,62.50,6.97,o,8
59161.50,70.43,4.97,o,7
59163.44,63.00,5.52,o,6
59167.41,55.17,5.33,o,6
59169.38,36.75,5.53,c,4
59173.42,32.25,4.02,c,4
59179.40,67.50,38.09,o,4
59181.00,86.00,9.96,o,9
59182.93,52.12,11.11,o,8
59185.42,30.40,11.04,o,5
59187.47,59.50,7.93,o,4
59189.42,70.50,6.14,o,4
59191.35,61.50,5.56,o,4
59193.40,32.00,4.38,c,4
59195.40,40.25,4.51,c,4
59197.39,24.25,4.16,c,4
59199.34,3.00,214.00,o,1
59204.91,60.25,3.76,o,8
59206.85,56.00,4.75,o,8
59208.86,58.75,7.39,o,8
59211.37,27.25,11.84,o,4
59212.37,60.50,12.69,o,4
59215.34,32.00,99.00,o,1
59217.35,63.00,6.55,o,4
59219.34,26.75,3.52,c,4
59221.34,23.00,4.02,c,4
59223.33,33.00,6.40,c,2
59227.36,35.67,4.24,c,3
59229.33,32.75,5.14,c,4
59231.34,27.75,4.13,c,4
59243.33,46.75,11.52,o,4
59245.32,70.75,9.01,o,4
59248.34,21.83,3.99,c,6
59251.34,22.86,3.96,c,7
59253.36,15.50,5.95,c,4
59255.29,16.00,3.55,c,8
59257.28,21.00,4.26,c,4
59259.33,20.50,3.91,c,4
59261.28,22.75,5.04,c,4
59263.27,63.50,9.84,o,4
59265.26,73.00,32.37,o,3
59267.29,51.50,8.15,o,4
59271.29,34.00,13.85,o,4
59275.28,26.20,6.33,o,5
59277.28,17.67,6.35,c,3
59293.24,62.50,18.99,o,4
