# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58680.57,14.75,11.77,o,4
58682.54,49.50,50.42,o,2
58688.61,-10.50,11.31,o,2
58690.52,-4.50,6.01,o,4
58692.43,4.00,11.67,o,2
58694.52,2.75,4.51,c,4
58696.53,35.00,9.78,o,4
58700.51,3.25,5.76,o,4
58702.48,6.25,4.26,c,4
58704.49,-5.25,6.51,o,4
58708.46,-16.75,11.64,o,4
58718.61,-17.40,8.49,o,5
58720.63,-18.33,19.65,o,3
58724.53,-3.25,5.51,o,4
58726.48,2.33,5.79,c,3
58730.49,3.33,5.20,c,3
58736.47,-2.00,8.02,o,4
58738.42,-25.00,57.00,o,1
58750.54,5.25,5.17,c,4
58752.46,2.25,4.67,o,4
58756.43,-4.75,5.15,o,4
58760.48,-5.67,7.32,o,3
58762.31,-8.00,7.40,o,4
58764.90,-1.88,6.61,o,8
58772.44,23.50,12.02,o,2
58774.42,23.50,8.65,o,4
58778.38,60.50,7.03,c,4
58780.38,62.00,5.14,o,4
58782.39,131.25,47.66,c,4
58784.39,85.25,5.76,o,4
58788.36,93.75,8.70,o,4
58790.31,90.75,6.94,o,4
58792.37,102.00,7.64,o,4
58800.40,100.00,11.67,o,4
58802.39,115.50,8.39,o,4
58808.35,118.50,6.50,o,4
58812.30,121.50,5.76,o,4
58814.32,113.00,7.45,c,4
58816.33,117.25,6.01,o,4
58818.34,118.33,98.09,c,3
58820.27,136.67,15.45,o,3
58826.33,83.50,19.81,o,2
58828.28,98.00,12.34,o,3
58830.28,103.00,9.55,o,4
58832.49,106.60,10.28,o,5
58836.27,104.00,5.68,o,4
58844.26,86.75,6.14,o,4
58846.26,57.00,5.63,c,3
58852.25,76.75,8.39,o,4
58854.26,121.00,302.00,o,1
58868.22,65.25,16.27,o,4
58870.22,59.00,12.42,c,4
58872.25,82.50,8.03,o,4
58874.25,55.50,10.26,c,2
58880.23,102.00,20.00,o,1
58882.24,111.33,15.70,o,3
58888.22,88.00,112.00,o,1
58998.60,22.00,14.85,c,4
59004.60,25.00,19.35,o,3
59020.59,18.75,6.15,o,4
59022.60,13.00,41.00,c,1
59024.58,28.75,6.39,o,4
59028.58,15.75,5.20,o,4
59030.57,3.00,5.01,c,4
59032.58,5.75,5.26,o,4
59036.53,19.25,10.52,o,4
59038.53,29.75,13.35,o,4
59044.57,22.00,11.83,o,3
59048.57,14.50,6.27,o,4
59050.57,-0.25,4.53,c,4
59052.60,9.75,5.26,o,4
59058.52,3.50,4.41,c,4
59060.90,4.71,5.89,o,7
59062.89,5.80,11.40,o,5
59065.01,8.67,11.07,o,6
59072.59,-4.50,6.03,o,4
59075.37,9.45,4.21,o,22
59076.52,5.75,6.30,o,4
59078.52,5.50,4.51,c,4
59080.50,29.33,6.98,o,3
59082.50,4.00,4.64,c,4
59084.49,14.25,4.88,o,4
59086.49,1.50,4.27,c,4
59088.48,9.75,5.66,o,4
59090.81,13.00,7.30,o,6
59092.43,6.25,13.38,o,4
59098.54,-11.00,17.36,o,2
59100.54,22.25,6.36,o,4
59102.45,15.00,6.25,o,4
59104.45,6.50,4.51,o,4
59105.42,1.75,4.53,c,4
59106.51,-3.00,4.89,c,4
59108.43,9.25,5.01,o,4
59110.51,4.00,4.88,c,4
59112.43,0.25,5.39,o,4
59114.50,7.00,5.64,c,4
59117.44,8.00,6.42,o,4
59119.04,23.67,6.15,o,6
59120.37,11.25,9.70,o,4
59126.47,-12.75,11.71,o,4
59128.50,13.25,7.80,o,4
59130.45,13.50,7.02,o,4
59132.38,2.00,5.78,o,4
59133.43,1.75,4.89,c,4
59134.54,2.50,7.52,o,4
59136.42,8.00,6.02,o,2
59138.42,1.00,11.79,c,4
59140.43,-1.50,5.53,o,4
59142.36,1.25,4.39,c,4
59144.84,12.88,4.98,o,8
59146.38,7.50,7.64,o,4
59148.32,2.33,573.35,o,3
59154.45,28.25,31.25,o,4
59156.93,10.25,7.29,o,8
59158.35,-14.75,8.06,o,4
59160.38,12.00,13.08,o,3
59161.39,3.67,6.74,c,3
59170.33,7.33,6.55,c,3
59173.33,6.00,7.97,o,3
59182.33,-2.33,13.41,o,3
59184.39,3.75,10.42,o,4
59186.33,-6.50,8.57,o,4
59188.28,-15.00,9.31,o,4
59189.33,-6.75,4.63,c,4
59190.29,0.25,4.64,c,4
59192.32,3.25,6.01,o,4
59194.30,1.25,4.76,c,4
59198.25,-5.50,6.94,c,4
59200.28,13.00,21.97,c,3
59204.23,20.33,10.64,o,3
59208.76,-1.75,6.68,o,8
59212.24,7.00,9.32,o,3
59216.28,0.75,6.67,o,4
59218.28,5.50,5.88,c,4
59220.24,-7.00,4.39,c,4
59222.27,2.75,6.01,c,4
59224.27,-0.50,6.72,c,4
59226.27,-2.75,5.51,c,4
59230.22,5.75,6.45,c,4
59248.24,-2.25,8.79,c,4
59252.22,2.00,17.81,c,4
59254.23,-41.67,15.84,c,3
59256.22,-35.33,24.97,c,3
