# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59565.64,10.75,12.11,o,4
59589.61,9.67,7.16,o,3
59591.60,4.50,5.01,c,4
59593.64,16.33,7.55,o,3
59597.56,6.00,30.00,o,1
59601.64,5.00,11.42,o,4
59603.61,-2.40,7.18,o,5
59606.70,7.69,6.06,o,13
59609.57,2.75,6.03,o,4
59610.62,2.67,8.49,o,3
59612.54,3.33,7.90,o,3
59613.62,13.50,3.73,c,8
59614.58,19.17,4.44,c,6
59615.55,0.00,7.33,o,3
59617.55,10.00,4.12,c,8
59618.61,9.50,4.38,c,4
59619.59,9.75,5.39,o,4
59620.52,8.75,7.01,o,4
59621.60,9.00,4.50,c,4
59623.01,8.62,6.58,o,8
59625.04,19.62,6.46,o,8
59627.07,10.00,8.62,o,8
59631.06,17.38,6.51,o,8
59633.05,25.00,8.17,o,8
59635.12,55.00,5.67,o,10
59636.52,86.00,6.25,o,4
59637.57,79.00,5.42,c,3
59638.53,75.50,4.26,c,4
59639.52,80.00,6.01,o,4
59640.57,103.50,5.13,o,4
59641.50,73.33,6.81,c,3
59642.64,122.20,9.77,c,5
59643.48,102.50,5.63,o,4
59644.52,109.25,5.90,o,4
59645.52,119.75,7.94,c,4
59646.53,116.50,8.27,c,4
59647.53,138.40,7.72,o,5
59649.49,144.00,5.91,o,4
59651.49,143.50,7.75,o,4
59653.51,146.67,37.05,o,3
59654.66,124.20,32.39,o,5
59657.03,143.50,31.78,o,8
59659.11,114.40,13.65,o,10
59660.65,133.29,94.42,o,7
59662.92,98.14,5.88,o,7
59664.49,106.25,6.75,o,4
59665.47,66.00,5.01,c,4
59666.48,73.75,4.51,c,4
59667.35,80.75,6.77,o,4
59669.50,43.25,4.92,c,4
59670.46,53.25,5.28,c,4
59671.45,70.00,6.94,o,3
59672.46,67.40,6.56,o,5
59673.46,40.33,17.37,c,3
59677.45,25.25,5.13,c,4
