# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59680.37,0.75,5.92,o,4
59682.09,-7.75,5.40,o,4
59684.31,-14.75,12.18,o,4
59690.04,0.50,12.41,o,4
59692.33,6.25,10.63,o,4
59698.12,-29.75,5.63,o,4
59702.11,-24.00,8.98,o,4
59704.37,-29.00,9.55,o,2
59708.34,-20.17,5.86,o,6
59712.35,-137.00,80.10,o,2
59716.29,-1.00,14.44,o,4
59726.12,-8.25,4.78,o,4
59737.98,-15.50,4.51,o,4
59738.03,1.75,4.89,o,4
59740.24,36.88,19.77,o,8
59742.07,80.00,183.00,o,1
59744.32,-1.00,109.00,o,1
59748.19,85.67,204.19,o,3
59755.15,-33.00,8.15,c,5
59756.68,-29.00,5.95,c,7
59758.37,-27.07,2.33,c,14
59760.58,-7.58,2.37,c,12
59762.71,-1.12,3.43,c,8
59764.73,6.62,2.80,c,8
59766.00,205.00,7.81,o,2
59766.01,243.00,8.49,o,2
59767.42,22.00,4.64,c,4
59777.97,269.00,10.98,o,3
59778.02,280.00,18.00,o,1
59780.21,272.25,5.76,o,4
59782.13,292.00,9.79,o,3
59784.22,260.75,6.25,o,4
59785.90,3.25,3.55,c,4
59788.19,277.75,6.63,o,4
59797.03,240.62,6.04,o,8
59800.16,238.25,15.13,o,4
59804.17,218.00,12.29,o,4
59812.13,-75.00,39.52,c,4
59813.97,204.00,9.72,o,4
59816.16,-109.33,36.77,c,3
59820.10,-94.50,3.88,c,4
59821.88,170.75,8.57,o,4
59824.47,152.20,5.46,o,5
59829.88,160.50,14.28,o,4
59832.13,132.00,15.14,o,4
59837.87,-121.50,4.05,c,4
59841.80,-126.75,3.15,c,4
59844.04,115.50,6.26,o,4
59849.84,-149.33,15.33,c,3
59852.92,86.75,4.66,o,8
59857.04,94.71,9.61,o,7
59860.80,56.43,29.17,o,7
59864.91,61.38,5.43,o,8
59868.02,-160.00,3.79,c,4
59869.80,69.25,6.64,o,4
59872.05,-133.00,5.20,c,4
59873.76,57.25,12.67,o,4
59876.01,-147.75,3.77,c,4
59877.78,59.25,16.06,o,4
59880.01,-144.50,5.84,c,4
59881.76,35.00,10.40,o,3
59884.02,59.00,13.37,o,4
59888.06,9.00,32.76,o,4
60012.38,16.75,12.14,o,4
60028.34,16.50,6.53,o,4
60035.32,0.50,20.98,o,4
60040.55,25.64,7.33,o,11
60046.69,-11.38,24.75,o,8
60049.11,10.00,5.55,o,8
60052.11,14.50,5.77,o,4
60053.29,-193.00,4.32,c,4
60060.99,-3.67,13.86,o,3
60064.04,6.33,6.74,o,3
60067.03,8.00,11.31,o,2
60070.85,-15.00,106.45,o,6
60072.97,31.75,17.26,o,4
60077.27,28.00,8.03,o,4
60083.40,33.33,18.87,o,3
60085.08,-185.25,3.76,c,4
60088.04,-189.25,2.52,c,4
60105.98,12.14,4.56,o,7
60106.02,6.00,14.00,o,1
60107.20,-193.75,5.74,c,4
60117.99,30.50,7.43,o,2
60118.02,17.00,7.81,o,2
60125.20,5.50,8.77,o,4
60126.99,10.33,14.12,o,3
60131.32,87.00,72.00,o,1
60136.05,5.75,6.39,o,4
60138.99,-178.50,2.81,c,4
60141.97,-197.25,3.02,c,4
60147.95,-192.20,2.65,c,5
60159.94,-17.33,183.03,o,3
60161.17,-6.00,9.24,o,3
60162.99,-7.75,5.41,o,4
60165.97,0.50,7.81,o,2
60166.02,-1.50,9.55,o,2
60167.16,-181.75,2.88,c,4
60171.91,17.50,18.03,o,2
60179.14,9.00,5.78,o,4
60180.89,36.00,52.52,o,3
60186.89,32.25,36.82,o,4
60189.87,-79.00,87.00,o,1
60191.12,-14.71,5.73,o,7
60201.85,-206.50,4.19,c,4
60203.11,8.00,5.92,o,4
60204.84,-187.75,2.52,c,4
60209.05,10.50,12.87,o,4
60213.84,-9.50,15.14,o,4
60215.09,-2.00,14.38,o,4
60216.82,-14.33,95.97,o,3
60219.81,-4.50,5.27,o,4
60221.06,-194.00,4.82,c,3
60227.04,10.00,6.64,o,4
60234.77,6.25,5.51,o,4
60237.76,24.00,8.67,o,3
60239.02,-26.50,178.79,o,2
60240.80,-41.29,10.37,o,7
60243.78,-18.50,13.12,o,4
60245.02,-15.75,13.26,o,4
60246.81,-26.25,13.70,o,4
60249.81,4.00,11.21,o,4
60251.07,-189.00,8.58,c,4
