# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59279.08,-14.83,22.38,o,6
59280.58,1.75,4.57,o,4
59284.59,-3.00,7.07,o,2
59288.46,2.50,4.53,o,4
59292.53,-2.67,5.22,o,3
59296.63,2.80,6.11,o,5
59300.38,-22.00,88.00,o,1
59304.88,-3.89,15.79,o,9
59307.17,3.92,4.12,o,12
59308.44,-7.12,2.93,c,8
59311.51,-10.50,5.04,c,4
59313.13,-7.32,1.51,c,28
59322.79,3.40,3.97,o,10
59324.43,-8.00,4.91,o,4
59326.37,-13.00,8.09,o,5
59333.08,18.50,8.07,o,10
59334.78,-1.17,5.04,o,12
59336.44,-4.00,9.43,o,3
59338.42,-5.75,5.62,c,4
59342.40,0.75,4.26,c,4
59344.39,0.67,5.50,o,3
59346.38,-3.00,4.88,c,4
59348.37,5.00,5.01,o,3
59349.38,-5.75,6.72,c,4
59350.43,-1.25,6.25,c,4
59352.86,3.25,4.79,o,8
59354.36,6.25,8.20,o,4
59360.90,-19.00,17.32,o,8
59362.39,12.50,11.01,o,4
59364.33,-5.75,5.26,o,4
59366.38,6.00,4.41,o,4
59368.36,1.50,4.13,c,4
59370.33,20.50,5.64,o,4
59372.32,26.00,3.88,c,4
59373.31,40.67,5.97,o,3
59374.32,44.00,6.01,o,4
59376.33,59.25,4.88,c,4
59378.36,75.00,6.17,o,4
59380.29,99.50,6.02,c,4
59382.29,121.25,7.33,o,4
59388.75,163.71,22.87,o,7
59391.10,159.20,8.14,o,5
59392.33,157.75,6.91,o,4
59394.32,157.50,5.76,c,4
59396.31,157.50,5.13,o,4
59400.29,156.25,5.39,o,4
59402.30,144.00,5.38,c,4
59404.26,150.75,5.51,o,4
59406.26,157.00,8.81,c,4
59408.26,146.00,7.07,o,4
59414.26,113.67,15.90,o,3
59416.29,105.67,163.66,o,3
59418.28,125.75,26.79,o,4
59424.26,90.71,5.79,c,7
59426.26,105.00,7.27,o,4
59428.26,73.00,5.92,c,8
59442.25,87.50,22.28,o,2
59542.64,22.50,16.87,o,4
59560.64,11.25,10.94,o,4
59580.60,17.75,7.29,o,4
59584.58,18.75,6.50,o,4
59586.52,-1.75,34.12,c,4
59588.57,13.00,7.55,o,3
59592.61,1.67,7.70,o,3
59595.06,6.50,10.02,o,4
59596.56,21.75,11.80,o,4
59599.08,16.50,13.37,o,4
59600.58,16.33,15.41,o,3
59605.18,10.33,6.72,o,12
59607.01,1.43,4.24,o,7
59608.59,8.33,7.32,o,3
59609.09,-11.50,4.67,c,4
59610.59,6.75,3.29,o,8
59612.63,-3.67,3.41,c,6
59614.58,3.00,5.90,o,4
59616.80,-3.50,3.21,c,10
59618.57,-1.00,6.11,o,5
59620.80,-1.86,3.83,c,7
59622.57,-8.00,8.14,o,4
59624.57,12.25,8.10,o,4
59627.25,-8.75,15.54,o,4
59632.63,18.67,9.85,o,3
59634.90,7.12,4.61,o,8
