# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
57715.65,-8.00,29.57,c,2
57735.62,-9.40,18.53,o,5
57743.66,-2.33,15.13,o,3
57747.59,2.40,6.46,c,5
57751.58,-3.10,4.32,c,10
57755.57,-10.60,5.73,c,5
57763.55,9.75,15.01,o,4
57767.55,25.00,20.31,o,5
57771.54,3.20,11.77,o,5
57779.51,35.80,6.45,c,5
57783.51,34.80,6.19,c,5
57787.48,48.20,6.09,c,5
57799.47,108.20,11.82,o,5
57800.50,87.67,20.20,o,6
57803.49,119.00,7.89,c,5
57804.46,52.33,20.73,o,3
57806.46,96.25,15.66,o,4
57807.49,132.50,7.52,c,4
57808.46,73.25,15.88,o,4
57811.44,130.00,42.00,c,1
57816.43,125.50,12.13,o,4
57818.94,93.25,12.36,o,8
57820.40,56.00,99.40,o,2
57826.90,147.43,26.67,o,7
57828.41,152.00,37.00,o,1
57830.90,133.12,8.37,o,8
57833.03,102.92,9.13,o,12
57834.37,92.75,16.80,o,4
57835.42,142.20,8.34,c,5
57837.35,57.00,13.84,o,7
57838.35,0.50,16.25,o,4
57839.40,116.75,15.21,c,4
57842.34,112.50,20.55,o,2
57843.39,140.80,8.80,c,5
57845.32,118.33,16.57,o,3
57846.34,106.00,44.00,o,1
57847.38,137.40,16.92,c,5
57849.31,74.00,27.78,o,4
57850.90,118.22,16.93,o,9
57853.36,123.00,34.74,o,4
57854.94,111.14,20.38,o,7
57857.32,122.00,135.00,o,1
57859.35,87.75,12.42,o,4
57861.39,93.00,34.00,o,1
57863.36,74.60,8.25,c,5
57865.39,97.00,42.00,o,1
57867.33,94.50,99.94,c,2
57868.40,106.00,21.00,c,1
57869.36,72.00,16.63,o,3
57871.32,69.00,8.75,c,2
57879.28,71.60,10.69,o,5
57883.33,86.40,25.63,o,5
57887.25,90.00,39.00,o,1
57895.28,49.00,8.28,c,5
57899.28,36.20,6.00,c,5
57903.28,21.33,8.59,c,3
57911.26,33.00,88.00,o,1
58026.63,-6.67,12.40,o,3
58028.63,7.67,11.74,o,3
58037.17,-2.29,10.43,o,7
58044.59,6.25,8.75,o,4
58048.59,-12.25,9.05,o,4
58054.59,7.14,5.87,o,7
58056.56,7.50,8.65,o,4
58058.55,8.00,21.07,o,4
58064.58,-26.25,20.55,o,4
58066.58,-13.75,8.47,o,4
58068.55,-16.00,14.10,o,3
58070.57,-12.50,7.07,o,2
58072.57,-1.75,7.14,o,4
58074.59,2.62,4.53,c,8
58076.57,-48.00,27.66,o,5
58078.57,-1.50,7.07,c,2
58080.56,-15.50,7.02,o,4
58082.56,4.67,5.22,c,3
58092.54,15.25,14.28,o,4
58096.53,-5.25,10.40,o,4
58098.53,-7.33,7.90,o,3
58100.53,3.25,6.53,o,4
58104.52,-0.50,7.39,o,4
58112.48,-12.75,6.15,o,4
58116.49,-7.00,8.51,o,4
58118.49,23.25,16.11,o,4
58120.46,13.50,18.22,o,4
58122.49,19.50,139.80,o,2
58124.49,-7.33,11.95,o,3
58128.49,3.25,6.50,o,4
58130.49,-2.33,6.00,o,3
58132.56,-6.75,6.13,o,4
58134.57,0.00,3.38,c,4
58136.55,-2.00,6.89,o,4
58139.51,-86.75,9.53,o,4
58140.51,-33.33,7.73,o,3
58148.47,8.25,35.52,o,4
58152.85,10.33,12.11,o,6
58156.50,-6.00,11.28,o,4
58160.49,-15.00,6.88,o,4
58164.49,24.38,6.79,o,8
58180.44,-11.00,83.00,o,1
58184.45,0.50,9.77,o,4
58186.45,-26.60,270.75,o,5
58196.43,-2.20,7.73,o,5
58204.40,-10.20,22.02,o,5
58206.83,-6.43,24.92,o,7
58208.91,-2.25,25.47,o,8
58220.38,-7.25,9.53,o,4
58221.33,0.43,3.36,c,7
58226.39,-49.00,115.00,c,1
58252.33,-87.75,10.55,o,4
58260.29,-22.00,30.10,o,2
58262.29,-30.71,13.12,o,7
58264.26,30.00,120.39,o,3
58269.31,20.00,37.00,o,1
58271.27,10.00,8.66,o,5
58272.26,-30.50,11.98,o,4
58274.25,19.62,28.24,o,8
58278.26,-30.00,37.41,c,7
58280.26,-21.00,37.20,o,2
58282.26,-24.00,24.00,o,1
