# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59041.61,-12.25,6.79,o,4
59045.61,6.00,105.00,o,1
59047.60,10.00,3.79,c,4
59051.60,4.25,3.90,c,4
59053.56,-3.00,3.82,o,4
59059.58,8.75,4.38,c,4
59061.56,8.50,3.63,o,4
59065.56,10.33,11.04,o,3
59073.56,3.40,7.07,o,5
59075.56,-1.00,5.82,o,5
59077.54,5.50,3.88,o,4
59079.52,11.00,4.38,c,4
59083.51,10.00,4.76,c,4
59085.49,5.00,4.93,o,4
59087.51,8.50,5.15,c,4
59089.49,3.25,4.91,o,4
59093.46,6.00,9.01,o,4
59095.46,2.33,12.36,o,3
59101.49,5.25,5.38,o,4
59103.54,-2.00,5.90,o,4
59105.51,2.25,4.64,o,4
59107.54,-1.00,4.02,c,4
59109.45,1.75,4.27,o,4
59111.47,1.25,6.57,c,4
59113.53,10.00,5.48,o,3
59115.53,7.75,4.26,c,4
59117.43,9.00,5.40,o,4
59119.42,11.50,34.95,o,2
59121.52,1.25,7.25,o,4
59129.51,2.75,5.63,o,4
59131.51,0.75,6.51,o,4
59133.47,-5.25,5.43,o,4
59135.48,1.25,8.19,c,4
59137.47,7.00,5.10,o,3
59139.45,90.25,4.51,c,4
59141.40,108.50,5.39,o,4
59143.37,146.00,4.89,c,4
59145.45,146.25,4.27,o,4
59147.42,162.25,5.89,o,4
59148.36,151.75,8.36,o,4
59157.43,121.50,6.74,o,4
59163.40,99.75,5.94,c,4
59169.37,84.25,5.68,o,4
59183.39,60.50,32.93,o,2
59185.41,91.25,8.39,o,4
59187.42,88.50,7.30,o,4
59189.32,85.00,4.15,o,4
59191.30,61.00,4.82,c,3
59193.33,86.25,5.13,o,4
59195.34,67.75,4.26,c,4
59197.32,58.75,3.90,c,4
59199.36,62.00,24.38,c,2
59205.28,73.25,5.51,o,4
59217.32,89.25,6.27,o,4
59219.31,52.00,4.77,c,4
59221.26,51.75,4.44,c,4
59223.24,55.50,6.17,c,4
59227.32,51.50,5.13,c,4
59231.24,39.50,5.14,c,4
59239.24,140.00,168.00,o,1
59243.28,-16.00,62.00,o,1
59245.23,47.25,5.60,o,4
59251.28,6.75,6.64,c,4
59257.25,16.25,4.76,c,4
59267.23,27.50,9.95,o,4
59389.60,15.00,10.55,o,4
59391.60,4.50,10.70,o,4
59401.61,17.00,8.60,o,3
59407.60,-11.00,19.64,c,4
59409.58,7.75,4.51,o,4
59413.57,-0.50,4.78,o,4
59415.57,6.75,5.38,c,4
59417.61,13.25,10.18,o,4
59421.56,-1.75,8.28,o,4
59429.58,5.25,5.36,o,4
59431.58,8.00,5.52,o,5
59433.57,8.75,3.52,c,4
59435.56,-5.75,5.28,o,4
59441.54,7.00,3.50,c,4
59443.54,7.00,5.22,o,3
59445.52,9.33,5.79,o,3
59447.52,8.67,9.85,o,3
59449.52,0.25,9.29,o,4
59455.50,4.25,5.70,o,4
59457.51,7.50,5.02,o,4
59461.51,11.50,3.63,o,4
59463.58,16.25,13.00,c,4
59465.49,4.67,5.28,o,3
59467.46,8.25,4.54,c,4
59469.47,-4.25,7.01,o,4
59475.54,-0.67,45.43,o,3
59485.43,10.25,6.01,o,4
59487.48,0.75,5.04,o,4
59489.63,-7.00,25.39,o,4
59491.47,8.50,5.70,o,4
59493.42,6.25,12.15,o,4
59497.50,-4.00,7.25,o,4
59501.38,-5.50,8.51,o,4
59503.37,2.50,9.28,o,4
59511.44,-9.00,9.28,o,4
59513.46,7.00,7.47,o,4
59515.43,-5.67,5.59,o,3
59517.43,2.00,6.01,o,4
59519.41,2.50,4.00,c,4
59521.41,22.25,5.89,o,4
59523.41,7.33,6.55,c,3
59525.31,4.75,6.76,o,4
59527.40,4.00,5.30,c,4
59529.39,8.25,5.76,o,4
59531.40,55.00,53.14,o,3
59539.47,17.25,19.48,o,4
59541.38,-27.50,26.63,o,2
59543.35,5.50,5.36,o,4
59545.37,-6.00,6.76,o,4
59551.32,6.50,4.15,o,4
59557.29,3.50,7.14,o,4
59565.30,-20.67,17.23,o,3
59569.40,-12.67,23.27,o,3
59573.25,-2.00,7.13,o,3
59584.79,-41.00,24.00,o,1
59587.31,12.25,6.21,o,4
59591.26,6.00,20.00,o,1
59593.31,-0.33,15.41,o,3
59597.48,-5.14,11.07,o,7
59601.32,-8.25,10.37,o,4
59603.33,1.50,6.80,o,4
59606.23,-5.00,6.65,o,4
59609.25,6.33,6.37,o,3
59610.47,0.40,8.29,o,5
59615.23,18.50,16.31,o,4
59618.26,20.25,9.84,o,4
59621.28,2.00,10.43,o,4
59624.25,-11.25,14.75,o,4
59627.28,-3.33,29.33,o,3
