# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
60392.64,0.25,15.37,o,4
60396.63,-7.00,13.64,o,4
60399.40,-4.00,15.20,o,4
60400.80,-8.17,9.56,o,6
60404.14,8.33,6.37,o,3
60408.59,5.00,6.02,o,2
60420.88,-11.57,6.37,o,7
60423.37,-16.00,16.09,o,4
60424.84,-7.12,9.45,o,8
60427.34,-2.00,26.36,o,4
60428.54,6.75,19.53,o,4
60432.72,-6.00,10.95,o,4
60435.35,-0.75,29.48,o,4
60436.56,2.75,8.03,o,4
60437.12,10.75,7.04,c,4
60439.34,0.25,7.90,o,4
60444.55,-9.00,5.91,o,4
60445.13,-7.50,10.66,c,4
60449.07,4.00,5.53,c,4
60452.61,3.60,16.26,o,5
60454.52,-23.00,13.78,o,4
60456.78,8.00,8.61,o,8
60458.92,4.40,47.92,o,5
60460.55,8.00,18.98,o,3
60462.77,-44.64,52.27,o,11
60464.45,7.25,7.39,o,4
60466.60,1.50,6.54,o,4
60468.86,-8.80,6.72,o,5
60470.51,2.75,6.63,o,4
60474.52,5.67,6.16,o,3
60476.63,24.00,17.77,o,5
60479.20,77.67,72.67,o,6
60480.47,-5.75,27.72,o,4
60482.46,-1.25,14.67,o,4
60488.81,57.25,7.42,o,8
60491.27,161.00,7.25,o,4
60492.54,173.75,6.00,o,4
60492.95,187.75,6.39,c,4
60494.84,171.57,6.72,o,7
60496.47,188.00,7.27,o,4
60496.99,195.25,5.63,c,4
60498.86,193.00,4.48,o,8
60500.52,204.00,7.64,o,4
60502.91,209.29,4.52,o,7
60506.85,213.50,5.66,o,8
60508.45,223.75,9.77,o,4
60510.88,262.71,17.70,o,7
60514.97,276.57,13.50,o,7
60517.02,231.00,10.40,o,4
60518.49,233.50,7.41,o,4
60519.21,193.75,5.89,c,4
60520.47,239.00,7.25,o,4
60524.73,230.50,5.02,o,8
60526.43,231.50,7.90,o,4
60528.76,228.50,4.40,o,12
60530.43,232.50,6.89,o,4
60532.41,173.25,5.90,c,4
60534.41,235.25,6.89,o,4
60536.49,173.00,15.00,c,1
60536.75,234.00,9.46,o,6
60538.41,213.75,9.88,o,4
60542.45,226.00,43.00,o,1
60544.61,213.86,9.19,o,7
60547.32,223.50,10.57,o,6
60549.12,249.00,8.66,o,4
60551.24,224.18,4.54,o,11
60553.39,232.67,8.29,o,3
60555.12,244.50,12.04,o,2
60556.38,239.33,8.52,o,3
60558.75,230.50,5.95,o,8
60560.27,227.75,7.53,o,4
60560.86,168.25,6.76,c,4
60562.49,235.50,14.22,o,10
60564.58,219.38,8.11,o,8
60567.10,220.75,15.00,o,4
60571.18,194.25,22.76,o,4
60572.39,260.33,52.20,o,3
