Nested Sampling Global Log-Evidence           :   -0.478597725476691860E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.531590807669081489E+01  +/-    0.743988726534032391E-01

Dim No.       Mean        Sigma
   1    0.239950001369579807E+00    0.191309276533311473E-02
   2   -0.412625134990889251E+02    0.397703559242462701E+00
   3    0.137038222427138456E+01    0.528663901529074446E-02
   4    0.789718010551873406E+00    0.352365533169447243E-01
   5    0.136482793780209680E-01    0.370634859347828793E-03
   6    0.196125155980265342E+01    0.332299780415312067E-02
   7   -0.173812443582780563E+01    0.748171203602684964E-01
   8   -0.376073834599270837E-01    0.257670335351689204E-02
   9   -0.927761107022358900E+01    0.554190525117656763E+00
  10   -0.448936287228985861E-02    0.447985251984874596E-02
  11   -0.202007323799031108E+00    0.428871546481248839E-01
  12   -0.122930194828002534E+00    0.236029057075222148E-01
  13   -0.116527193499364329E+00    0.894633746906542057E-02
  14   -0.110577146261083303E+01    0.162971167827888203E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.242184666985091501E+00
   2   -0.415799540898359794E+02
   3    0.136432329127288909E+01
   4    0.832181315065612881E+00
   5    0.134754190932925462E-01
   6    0.196000197999890835E+01
   7   -0.159718902188105982E+01
   8   -0.402606864999554143E-01
   9   -0.100055706077817224E+02
  10   -0.115142217677011247E-01
  11   -0.201328938255258050E+00
  12   -0.127462188058261261E+00
  13   -0.108644561508994972E+00
  14   -0.109917356632702790E+01

MAP Parameters
Dim No.        Parameter
   1    0.241740861804603052E+00
   2   -0.419305765408397093E+02
   3    0.137330127443105021E+01
   4    0.804218863226573655E+00
   5    0.138587887631495786E-01
   6    0.196208045931464770E+01
   7   -0.161843081088304253E+01
   8   -0.386069958517701664E-01
   9   -0.930305986119485695E+01
  10   -0.463986295824236807E-02
  11   -0.206256855012303314E+00
  12   -0.634054963801517213E-01
  13   -0.115340591280541430E+00
  14   -0.109111383961872166E+01
