,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,59892.610849,-19.772,0.543,-45,24,o,0,1.04,172.23122,5.45907,1753.0,5910.21,2.64,2.39,44.2,-0.411,18.66,19.08,01a59892o0899o
1,59892.635945,20.404,0.802,25,20,o,0,1.42,172.23122,5.45907,1736.81,5864.38,2.45,2.32,48.9,-0.431,18.83,19.23,01a59892o0952o
2,59915.346294,22.227,4.275,5,20,o,0,1.19,172.23122,5.45907,7591.94,5543.77,2.21,1.87,-23.6,-0.407,18.67,19.36,04a59915o0715o
3,59915.348116,21.691,2.585,8,20,o,0,1.81,172.23122,5.45907,7572.13,5505.18,2.16,1.91,-19.2,-0.417,18.58,19.1,04a59915o0719o
4,59915.349988,20.455,1.403,24,34,o,0,0.83,172.23122,5.45907,7629.78,5581.76,2.17,1.84,-20.8,-0.421,18.36,18.75,04a59915o0723o
5,59915.351846,22.021,6.25,6,35,o,0,1.32,172.23122,5.45907,7648.72,5465.61,2.21,1.91,-23.7,-0.407,18.16,18.35,04a59915o0727o
6,59921.065089,20.459,1.468,24,35,o,0,1.21,172.23122,5.45907,6598.62,8182.13,3.15,2.58,-36.0,-0.366,18.19,18.66,03a59921o0657o
7,59921.081951,21.78,5.281,7,37,o,0,1.11,172.23122,5.45907,6579.35,8138.06,3.15,2.73,-34.0,-0.362,18.24,18.72,03a59921o0694o
8,59921.092474,19.595,1.04,53,55,o,0,1.1,172.23122,5.45907,6633.13,8216.03,3.45,3.0,-38.8,-0.356,17.81,18.06,03a59921o0717o
9,59921.095661,19.274,1.031,71,73,o,0,1.15,172.23122,5.45907,6655.13,8100.16,3.72,3.46,-28.4,-0.336,17.42,17.52,03a59921o0724o
10,59943.326092,19.442,0.195,61,12,c,0,1.22,172.23122,5.45907,4885.41,10293.3,2.95,2.02,-73.8,-0.369,19.63,21.36,04a59943o0649c
11,59943.339123,19.955,0.314,38,12,c,0,0.94,172.23122,5.45907,4868.28,10254.77,3.05,2.08,-72.8,-0.37,19.58,21.32,04a59943o0677c
12,59943.342728,20.354,0.394,26,10,c,0,1.24,172.23122,5.45907,4927.01,10332.95,3.02,2.01,-73.6,-0.379,19.56,21.29,04a59943o0685c
13,59943.349993,20.016,0.286,36,10,c,0,1.66,172.23122,5.45907,4948.78,10214.45,3.06,2.07,-73.3,-0.366,19.45,21.04,04a59943o0701c
14,59943.359911,-20.347,0.72,-26,19,c,0,1.45,172.23122,5.45907,4914.02,10271.28,3.13,1.96,-74.1,-0.359,18.88,19.75,04a59943o0723c
15,59945.010651,19.237,0.183,73,13,o,0,1.25,172.23122,5.45907,3498.17,1069.79,2.57,2.47,-35.2,-0.379,19.18,20.59,03a59945o0513o
16,59945.018975,20.651,0.647,20,13,o,0,1.06,172.23122,5.45907,3475.09,1037.07,2.4,2.27,-48.6,-0.392,19.29,20.66,03a59945o0530o
17,59945.022128,20.363,0.38,26,10,o,0,1.83,172.23122,5.45907,3529.31,1120.36,2.32,2.17,-58.0,-0.389,19.31,20.6,03a59945o0537o
18,59945.033726,19.833,0.283,42,12,o,0,1.35,172.23122,5.45907,3541.46,1018.2,2.32,2.17,-44.9,-0.387,19.32,20.62,03a59945o0562o
19,59947.271143,20.104,0.733,33,24,o,0,0.68,172.23122,5.45907,10060.8,5931.17,2.59,2.15,-11.7,-0.422,18.91,19.94,04a59947o0512o
20,59947.274297,18.792,0.174,110,19,o,0,1.1,172.23122,5.45907,10042.31,5891.79,2.34,1.91,-3.6,-0.465,19.06,20.0,04a59947o0519o
21,59947.281557,19.643,0.325,50,16,o,0,1.07,172.23122,5.45907,10100.25,5970.3,2.48,1.98,-11.2,-0.448,19.18,20.24,04a59947o0535o
22,59947.29192,19.695,0.331,48,16,o,0,0.94,172.23122,5.45907,10117.98,5855.25,2.32,1.97,-6.8,-0.459,19.3,20.59,04a59947o0558o
23,59952.991783,19.608,0.788,52,41,o,0,1.02,172.23122,5.45907,744.83,7695.36,2.81,2.5,-65.2,-0.377,18.31,18.53,03a59953o0468o
24,59952.994935,21.299,3.603,11,40,o,0,0.81,172.23122,5.45907,724.3,7659.34,2.7,2.4,-64.0,-0.368,18.32,18.53,03a59953o0475o
25,59953.001732,19.002,0.401,91,36,o,0,0.92,172.23122,5.45907,773.55,7745.62,2.68,2.45,-51.3,-0.37,18.35,18.6,03a59953o0490o
26,59953.011682,19.781,0.711,44,32,o,0,0.95,172.23122,5.45907,789.27,7640.69,2.56,2.26,-63.5,-0.379,18.45,18.66,03a59953o0511o
27,59963.285801,19.06,0.148,86,13,o,0,1.37,172.23122,5.45907,5648.87,5647.1,2.24,1.96,-47.9,-0.428,19.36,20.69,04a59963o0578o
28,59963.288055,19.011,0.123,90,11,o,0,1.44,172.23122,5.45907,5629.88,5608.5,2.15,1.89,-58.8,-0.425,19.41,20.72,04a59963o0583o
29,59963.292109,18.667,0.099,124,12,o,0,1.07,172.23122,5.45907,5688.83,5685.72,2.18,1.98,-59.2,-0.444,19.36,20.68,04a59963o0592o
30,59963.297515,18.744,0.116,115,13,o,0,1.13,172.23122,5.45907,5710.35,5569.56,2.08,1.88,-34.1,-0.452,19.38,20.65,04a59963o0604o
31,59964.579871,19.111,0.154,82,13,o,0,1.11,172.23122,5.45907,3956.15,4122.29,2.72,2.31,37.9,-0.445,19.32,20.75,02a59964o0761o
32,59964.58396,18.496,0.094,145,14,o,0,1.2,172.23122,5.45907,3937.06,4085.08,2.76,2.3,37.3,-0.417,19.32,20.73,02a59964o0770o
33,59964.591454,19.038,0.154,88,14,o,0,1.47,172.23122,5.45907,3995.75,4163.69,2.76,2.27,37.9,-0.427,19.32,20.72,02a59964o0784o
34,59964.601946,18.599,0.097,132,13,o,0,1.47,172.23122,5.45907,4015.42,4049.61,2.95,2.44,40.4,-0.402,19.26,20.71,02a59964o0807o
35,59965.046161,18.9,0.085,100,8,c,0,1.61,172.23122,5.45907,9951.98,4076.03,2.42,2.2,-55.7,-0.374,19.7,21.51,03a59965o0602c
36,59965.062485,18.683,0.076,122,9,c,0,1.34,172.23122,5.45907,9939.03,4038.25,2.36,2.11,-52.3,-0.384,19.73,21.49,03a59965o0637c
37,59965.065263,18.951,0.087,95,8,c,0,1.08,172.23122,5.45907,9995.07,4117.06,2.39,2.12,-54.1,-0.384,19.74,21.49,03a59965o0643c
38,59965.068427,18.969,0.1,94,9,c,0,0.84,172.23122,5.45907,10018.46,4001.66,2.38,2.11,-55.1,-0.381,19.72,21.48,03a59965o0650c
39,59968.395141,19.062,0.216,86,19,o,0,0.74,172.23122,5.45907,6961.1,6784.19,2.41,1.87,36.3,-0.428,19.21,20.13,02a59968o0430o
40,59968.3974,18.978,0.135,93,13,o,0,2.02,172.23122,5.45907,6980.26,6822.68,2.38,1.91,34.4,-0.432,19.24,20.14,02a59968o0435o
41,59968.402906,18.967,0.149,94,14,o,0,1.28,172.23122,5.45907,6920.22,6743.5,2.33,1.81,36.0,-0.426,19.3,20.19,02a59968o0447o
42,59968.409281,18.696,0.123,121,15,o,0,1.04,172.23122,5.45907,6901.44,6860.44,2.44,1.85,34.2,-0.431,19.3,20.2,02a59968o0461o
43,59969.062696,18.952,0.111,95,11,c,0,1.0,172.23122,5.45907,4751.75,10244.49,2.62,2.36,-45.4,-0.379,19.7,21.48,03a59969o0594c
44,59969.072277,19.201,0.137,76,10,c,0,1.36,172.23122,5.45907,9891.76,180.8,2.61,2.29,-51.0,-0.463,19.6,21.42,03a59969o0615c
45,59969.075429,19.072,0.126,85,11,c,0,0.83,172.23122,5.45907,4736.53,10204.4,2.76,2.4,-46.8,-0.366,19.67,21.5,03a59969o0622c
46,59969.07588,18.897,0.123,100,12,c,0,0.98,172.23122,5.45907,9873.66,141.06,2.47,2.23,-31.4,-0.468,19.66,21.44,03a59969o0623c
47,59969.103759,18.943,0.099,96,10,c,0,1.62,172.23122,5.45907,5776.98,274.84,2.53,2.35,-56.4,-0.371,19.59,21.33,03a59969o0683c
48,59969.106668,18.785,0.103,111,12,c,0,1.28,172.23122,5.45907,628.24,10330.92,2.8,2.51,-41.7,-0.406,19.51,21.15,03a59969o0689c
49,59969.112222,19.458,0.221,60,13,c,0,1.22,172.23122,5.45907,5755.68,394.5,2.57,2.42,-46.9,-0.376,19.31,20.7,03a59969o0701c
50,59969.112672,18.94,0.155,96,15,c,0,1.02,172.23122,5.45907,603.33,10449.67,2.74,2.45,-38.2,-0.418,19.29,20.56,03a59969o0702c
51,59971.287817,18.681,0.08,122,10,o,0,1.93,172.23122,5.45907,1596.47,1974.14,1.99,1.86,32.4,-0.441,19.34,20.64,04a59971o0587o
