,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
398,59494.53974,-24.506,24.667,-1,14,o,0,0.84,66.66112,-11.89603,9622.0,1559.58,2.9,2.7,-53.1,-0.417,19.29,20.94,02a59494o0645o
399,59496.529663,20.516,0.779,23,18,o,0,0.82,66.66112,-11.89603,3143.05,2641.1,4.42,3.06,0.0,-0.378,18.93,20.66,01a59496o0725o
400,59496.531504,20.183,0.57,31,18,o,0,1.07,66.66112,-11.89603,3123.36,2601.79,4.23,3.01,0.4,-0.419,18.97,20.65,01a59496o0729o
401,59496.53565,23.758,15.25,1,17,o,0,0.86,66.66112,-11.89603,3182.42,2678.86,4.37,2.91,-0.5,-0.416,19.01,20.62,01a59496o0738o
402,59496.542635,-21.62,1.718,-8,14,o,0,1.0,66.66112,-11.89603,3201.61,2562.9,3.15,2.86,-4.2,-0.446,19.22,20.66,01a59496o0753o
403,59498.498598,20.93,0.679,15,10,o,0,1.38,66.66112,-11.89603,1266.64,9718.99,2.04,1.69,-49.1,-0.505,19.57,20.73,02a59498o0478o
404,59498.501826,20.586,0.564,21,12,o,0,1.31,66.66112,-11.89603,1285.54,9758.66,2.05,1.7,-49.9,-0.482,19.54,20.73,02a59498o0485o
405,59498.518957,21.764,1.342,7,10,o,0,1.97,66.66112,-11.89603,1228.01,9680.83,2.06,1.68,-51.0,-0.489,19.57,20.82,02a59498o0521o
406,59498.522641,21.076,0.824,14,11,o,0,1.29,66.66112,-11.89603,1207.25,9798.79,2.03,1.65,-46.1,-0.473,19.55,20.78,02a59498o0529o
407,59500.468182,20.854,0.843,16,14,o,0,1.09,66.66112,-11.89603,3098.03,2659.95,2.86,2.69,-38.4,-0.477,19.24,20.58,01a59500o0340o
408,59500.470023,22.115,2.857,5,15,o,0,1.28,66.66112,-11.89603,3077.75,2621.75,2.83,2.7,-35.8,-0.476,19.27,20.59,01a59500o0344o
409,59500.473269,20.348,0.562,26,15,o,0,1.08,66.66112,-11.89603,3136.87,2697.67,2.82,2.64,-45.9,-0.484,19.26,20.58,01a59500o0351o
410,59500.48066,21.426,1.345,10,13,o,0,1.01,66.66112,-11.89603,3155.1,2581.15,2.77,2.66,-27.4,-0.484,19.27,20.62,01a59500o0367o
