Nested Sampling Global Log-Evidence           :   -0.308981125190165322E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.309146623709851944E+02  +/-    0.177773351283510303E-02

Dim No.       Mean        Sigma
   1   -0.434769325994472083E-02    0.779499665084420600E-03
   2   -0.697489399525732789E+01    0.223947668791834135E-01
   3    0.499024867462715238E+00    0.314365746396839734E-02
   4    0.616595560956134103E+00    0.212513071918722998E-01
   5    0.134421815612917519E-01    0.485501804604679052E-03
   6    0.164521872153201376E+01    0.128081960265222683E-02
   7   -0.214463561173375528E+01    0.990231198968189452E-01
   8   -0.119455249531372196E+00    0.146048870584551856E-02
   9   -0.696221125570060329E+00    0.344513648764288652E-01
  10   -0.406670994359141558E+00    0.733336098646111736E-02
  11   -0.761173703588644834E-01    0.137365794354694527E-01
  12   -0.712860026359749543E-01    0.179254546925898400E-01
  13   -0.175984823149740455E+00    0.163448443991405404E-02
  14   -0.105076881547104084E+01    0.465360241719666497E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.434639063476957837E-02
   2   -0.698296597829398991E+01
   3    0.498206384533036672E+00
   4    0.600444936579815236E+00
   5    0.138909012131544080E-01
   6    0.164721399757630715E+01
   7   -0.212282583151143056E+01
   8   -0.118098427021808533E+00
   9   -0.698364537903915394E+00
  10   -0.420670048817082920E+00
  11   -0.687506037733385117E-01
  12   -0.963504508312646307E-01
  13   -0.174464385497181546E+00
  14   -0.105793648162953136E+01

MAP Parameters
Dim No.        Parameter
   1   -0.371828459500542999E-02
   2   -0.695674876484982097E+01
   3    0.499373468699504941E+00
   4    0.576233140986776582E+00
   5    0.127452393733244948E-01
   6    0.164564508424290379E+01
   7   -0.216974835411730993E+01
   8   -0.120807784402883214E+00
   9   -0.680805990885460233E+00
  10   -0.389953663642463533E+00
  11   -0.857410358154788027E-01
  12   -0.766098101661110559E-01
  13   -0.176987412536002586E+00
  14   -0.104878881200581020E+01
