tnsname control_id           ra         dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2017eby          0 219.71150000 14.74058056           0           0             0    3466      2655       811
    NaN          1 219.71495275 14.74391967  0.00345275  0.00333912          17.0    3461      2652       809
    NaN          2 219.71150000 14.74530278  0.00000000  0.00472222          17.0    3468      2654       814
    NaN          3 219.70804725 14.74391967 -0.00345275  0.00333912          17.0    3467      2655       812
    NaN          4 219.70661707 14.74058056 -0.00488293  0.00000000          17.0    3468      2656       812
    NaN          5 219.70804725 14.73724144 -0.00345275 -0.00333912          17.0    3465      2655       810
    NaN          6 219.71150000 14.73585833 -0.00000000 -0.00472222          17.0    3462      2654       808
    NaN          7 219.71495275 14.73724144  0.00345275 -0.00333912          17.0    3459      2652       807
    NaN          8 219.71638293 14.74058056  0.00488293 -0.00000000          17.0    3459      2651       808
