          MJD  MJDbin          uJy        duJy       stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
          NaN 57481.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57482.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57483.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57484.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
 57485.307181 57485.5        -14.5        14.0         NaN       NaN      0      1          1 0x800000 19.841877      NaN
          NaN 57486.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57487.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57488.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57489.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57490.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57491.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57492.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57493.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57494.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57495.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57496.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57497.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57498.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57499.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57500.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57501.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57502.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57503.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57504.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57505.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57506.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57507.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57508.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57509.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57510.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57511.5          NaN         NaN         NaN       NaN      0      0          0 0x800000       NaN      NaN
