         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57659.601324 19.696897      NaN    5.5    16 c    0    0.86 58.62571 -34.66868  2849.26  2420.96 3.95 3.72  77.2 -0.381    19.56 21.50 02a57659o0698c 0xc00800        10.5
57659.617240 19.631075      NaN  -22.5    17 c    0    0.89 58.62571 -34.66868  2834.48  2380.86 3.98 3.73  75.3 -0.378    19.53 21.45 02a57659o0729c 0xc00800        10.5
57659.633116 19.472870      NaN   18.5    17 c    0    1.34 58.62571 -34.66868  2900.97  2458.51 3.90 3.64  78.1 -0.392    19.37 21.11 02a57659o0760c 0xc00800        10.5
57663.591013 19.454622      NaN  -21.5    20 c    0    0.88 58.62571 -34.66868   309.53  2300.63 4.03 3.95 -78.7 -0.378    19.23 21.00 02a57663o0337c 0xc00800        10.5
57663.607045 18.504094      NaN  -16.5    48 c    0    1.15 58.62571 -34.66868   294.87  2259.49 4.13 4.04  82.8 -0.382    18.14 19.87 02a57663o0368c 0xc00800        10.5
57663.607548 18.298627      NaN  -44.5    58 c    0    1.02 58.62571 -34.66868  9767.88  2317.81 4.03 3.66  77.3 -0.432    18.10 19.81 02a57663o0369c 0xc00800        10.5
57663.623585 18.910912      NaN  -49.5    33 c    0    0.91 58.62571 -34.66868   363.67  2339.35 4.05 3.89  83.2 -0.380    18.74 20.43 02a57663o0400c 0xc00900        10.5
57663.624090 18.574166      NaN   58.5    29 c    0    1.40 58.62571 -34.66868  9737.24  2280.75 4.00 3.64  78.4 -0.433    18.76 20.48 02a57663o0401c 0xc00800        10.5
57663.640061 17.821591      NaN   -9.5    90 c    0    1.10 58.62571 -34.66868  9804.42  2355.86 3.96 3.57  80.4 -0.438    17.69 19.02 02a57663o0432c 0xc00800        10.5
57667.592891 19.256669      NaN  -11.5    24 c    0    1.04 58.62571 -34.66868  8982.27  2181.65 3.87 3.51  82.7 -0.429    19.11 20.93 02a57667o0743c 0xc00800        10.5
57667.609329 19.128787      NaN  -23.5    27 c    0    1.21 58.62571 -34.66868  8967.33  2142.48 3.90 3.57  79.2 -0.423    18.97 20.75 02a57667o0775c 0xc00800        10.5
57667.624745 17.990970      NaN   -1.5    77 c    0    1.32 58.62571 -34.66868  9017.79  2219.87 3.84 3.52  80.0 -0.431    17.87 19.57 02a57667o0805c 0xc00800        10.5
57687.490335 19.569016      NaN    6.5    18 c    0    0.99 58.62571 -34.66868  2328.51  2631.98 3.92 3.85  68.4 -0.377    19.48 21.26 02a57687o0608c 0xc00800        10.5
57687.503706 19.589310      NaN   15.5    16 c    0    1.21 58.62571 -34.66868  2312.27  2595.78 3.93 3.85  64.6 -0.377    19.48 21.29 02a57687o0635c 0xc00800        10.5
57687.517079 19.569016      NaN   13.5    17 c    0    1.05 58.62571 -34.66868  2361.60  2675.22 3.94 3.85  69.4 -0.375    19.50 21.32 02a57687o0662c 0xc00800        10.5
57687.530466 19.510313      NaN  -12.5    19 c    0    1.02 58.62571 -34.66868  2380.95  2558.00 3.96 3.90  62.5 -0.386    19.46 21.27 02a57687o0689c 0xc00800        10.5
57687.543234 19.569016      NaN   -0.5    18 c    0    0.88 58.62571 -34.66868  2350.55  2615.44 3.95 3.78  75.6 -0.379    19.47 21.24 02a57687o0715c 0xc00800        10.5
57691.543043 19.436675      NaN   17.5    18 c    0    1.22 58.62571 -34.66868  1057.02   266.59 4.51 4.48 -15.2 -0.355    19.41 21.43 02a57691o0291c 0xc00900        10.5
57699.449864 18.900000      NaN   35.5    25 c    0    1.07 58.62571 -34.66868  1587.16  2651.27 3.90 3.77  63.5 -0.388    19.05 20.67 02a57699o0514c 0xc00800        10.5
57699.465767 18.967180      NaN   38.5    22 c    0    1.01 58.62571 -34.66868  1576.29  2613.16 3.90 3.76  66.9 -0.390    19.20 20.84 02a57699o0545c 0xc00800        10.5
57699.481667 19.334813      NaN   14.5    21 c    0    0.89 58.62571 -34.66868  1641.82  2690.83 3.94 3.79  65.8 -0.382    19.29 20.98 02a57699o0576c 0xc00900        10.5
57699.497033 19.051202      NaN   37.5    20 c    0    1.58 58.62571 -34.66868  1658.78  2574.84 3.93 3.75  71.3 -0.375    18.69 20.35 02a57699o0606c 0xc00900        10.5
57715.442881 18.889197      NaN   27.5    28 c    0    1.07 58.62571 -34.66868  5820.21 10299.52 4.51 4.43  31.1 -0.368    18.89 21.00 02a57715o0512c 0xc00800        10.5
57715.447496 18.836735      NaN   17.5    33 c    0    1.16 58.62571 -34.66868  9198.39   538.66 4.84 4.76  56.3 -0.374    19.18 21.40 02a57715o0521c 0xc00800        10.5
