Nested Sampling Global Log-Evidence           :   -0.451445993494942499E+01  +/-    0.162665501506264222E-01
Nested Importance Sampling Global Log-Evidence:   -0.449886210585148838E+01  +/-    0.140807511767338973E-01

Dim No.       Mean        Sigma
   1    0.197013714445190058E+00    0.359940564919666861E-02
   2    0.620754827860540992E+01    0.444004866385606045E+00
   3    0.543536819281435934E+00    0.516694102190757010E-01
   4    0.183899127166100618E+01    0.110755639005794305E-01
   5    0.164715266994945142E-02    0.339720974758552527E-03
   6    0.192727606619714376E+01    0.173100300245558648E-01
   7   -0.154510073525845670E+01    0.162819016802831090E+00
   8    0.293603476591518309E+00    0.541024250385144928E-02
   9    0.150451333578603852E+01    0.446375339950761951E+00
  10   -0.568426497713245549E-01    0.457853061232388267E-01
  11   -0.581626822115813777E-01    0.126051880237713562E-01
  12   -0.483748807178342233E+00    0.661641099223163054E-01
  13   -0.123061556318383086E+00    0.221126571110322849E-01
  14   -0.105455940611409993E+01    0.860675900176603378E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.200589957260633528E+00
   2    0.617480389976720367E+01
   3    0.594738889886399447E+00
   4    0.182328796545969141E+01
   5    0.167748795734034141E-02
   6    0.190688813815484814E+01
   7   -0.142635464637526610E+01
   8    0.297743875465592500E+00
   9    0.137501569078348185E+01
  10    0.263011456857306716E-01
  11   -0.545217129058212166E-01
  12   -0.597775068679346155E+00
  13   -0.805631005399818911E-01
  14   -0.105151792905216346E+01

MAP Parameters
Dim No.        Parameter
   1    0.199467451779513499E+00
   2    0.619147198076112382E+01
   3    0.511121536892620076E+00
   4    0.185230763316837699E+01
   5    0.172679928460847286E-02
   6    0.194058249906652747E+01
   7   -0.135657710733113257E+01
   8    0.299102804886654916E+00
   9    0.154290118756277961E+01
  10   -0.101551902625305987E+00
  11   -0.480837550267430580E-01
  12   -0.467407824090035451E+00
  13   -0.139451929397550495E+00
  14   -0.106042530151730352E+01
