Nested Sampling Global Log-Evidence           :   -0.193447564024802610E+02  +/-    0.450397746019799150E+00
Nested Importance Sampling Global Log-Evidence:   -0.241844646145516542E+02  +/-    0.369523715942378581E-01

Dim No.       Mean        Sigma
   1    0.102471823260389089E+00    0.270383155345160706E-01
   2   -0.147771403252532654E+02    0.973733001788707031E+00
   3    0.784654542932484933E+00    0.329276050126192654E-01
   4    0.153710721751742030E+01    0.336162573007441068E+00
   5    0.980543694073946447E-02    0.271740743704522100E-02
   6    0.149817095320777627E+01    0.319526079182884060E+00
   7   -0.170927621258341644E+01    0.451609107625626671E+00
   8   -0.506087136926469464E-01    0.466748386763378847E-01
   9   -0.578116187698055839E+00    0.134171818019429612E+01
  10   -0.909446885672461208E-01    0.618835530970699293E-01
  11   -0.547868396415225126E-01    0.134413499722894431E+00
  12   -0.214726341918835162E+00    0.224949601679014899E+00
  13   -0.198054677158166631E+00    0.217385640374807010E+00
  14   -0.105754379421716349E+01    0.518263476959290523E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.146668774646501243E+00
   2   -0.134302391423033214E+02
   3    0.817936697828116621E+00
   4    0.945772338036237836E+00
   5    0.115070786211456857E-01
   6    0.167619577322417901E+01
   7   -0.178574481748018576E+01
   8   -0.569716556951891245E-01
   9   -0.914675975307053690E+00
  10   -0.567025363031293389E-01
  11    0.360192770222651573E-01
  12   -0.615775319293868639E+00
  13   -0.790869390697988978E-01
  14   -0.103803984842172192E+01

MAP Parameters
Dim No.        Parameter
   1    0.146668774646501243E+00
   2   -0.134302391423033214E+02
   3    0.817936697828116621E+00
   4    0.945772338036237836E+00
   5    0.115070786211456857E-01
   6    0.167619577322417901E+01
   7   -0.178574481748018576E+01
   8   -0.569716556951891245E-01
   9   -0.914675975307053690E+00
  10   -0.567025363031293389E-01
  11    0.360192770222651573E-01
  12   -0.615775319293868639E+00
  13   -0.790869390697988978E-01
  14   -0.103803984842172192E+01
