Nested Sampling Global Log-Evidence           :   -0.798779799019008951E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.839854805143089500E+01  +/-    0.545722465179329930E-01

Dim No.       Mean        Sigma
   1    0.230799295044917196E+00    0.370818982715239841E-02
   2   -0.205109956623499663E+02    0.727825803615259281E+00
   3    0.157135164135266514E+01    0.159781215549549375E-01
   4    0.149746450968940525E+01    0.643454729268061881E-01
   5    0.831383050518891276E-02    0.209878362635095250E-03
   6    0.174969100417331824E+01    0.261789373888864987E-01
   7   -0.180891895385516333E+01    0.768186643376904399E-01
   8   -0.735235460480821584E-01    0.237746968358578011E-02
   9   -0.642740477103872276E+01    0.372244389814806786E+00
  10    0.279112628396085638E+00    0.204919306670251176E-01
  11   -0.659668911152423015E-01    0.359671404966738842E-01
  12    0.256939689684155648E+00    0.183012541904563966E-01
  13   -0.106613122040869479E+00    0.190681772815850109E-01
  14   -0.106844269363228883E+01    0.662313965145306782E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.237386691626371132E+00
   2   -0.216981054965103155E+02
   3    0.154865792305821959E+01
   4    0.138875617311273536E+01
   5    0.853527573239660532E-02
   6    0.175848607783723687E+01
   7   -0.175303944585874749E+01
   8   -0.712544381288419126E-01
   9   -0.643554663565596030E+01
  10    0.256827780889905433E+00
  11   -0.795844042374719146E-01
  12    0.253817323249828197E+00
  13   -0.116652671229941940E+00
  14   -0.105948415422352737E+01

MAP Parameters
Dim No.        Parameter
   1    0.226838201096639019E+00
   2   -0.199645719797116961E+02
   3    0.159489378814632143E+01
   4    0.158198431626613734E+01
   5    0.863812606526527527E-02
   6    0.174133892905046750E+01
   7   -0.172280847460902509E+01
   8   -0.693781788207040589E-01
   9   -0.599106624130823828E+01
  10    0.291143901202043587E+00
  11   -0.810317782436276030E-01
  12    0.247352505352781610E+00
  13   -0.122116911651219975E+00
  14   -0.106108983523039702E+01
