         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57384.302905 19.212347      NaN    -57    25 o    0   1.28 21.76144 33.95493  3267.11  7220.69 3.83 3.52 -82.4 -0.430    18.80 20.12 02a57384o0159o 0xc00800
57384.319115 18.496580      NaN     58    29 o    0   1.12 21.76144 33.95493  2964.45  8975.79 3.82 3.61 -82.9 -0.433    18.76 20.04 02a57384o0184o 0xc00800
57385.268764 19.318728      NaN      2    22 o    0   1.09 21.76144 33.95493  3851.91  7794.41 3.76 3.38 -80.2 -0.451    19.13 20.72 02a57385o0149o 0xc00900
57385.282613 19.256669      NaN    -20    24 o    0   0.89 21.76144 33.95493  4118.27  8377.48 3.83 3.46 -73.6 -0.453    19.11 20.74 02a57385o0171o 0xc00800
57385.298754 19.401649      NaN     -5    21 o    0   1.06 21.76144 33.95493  3268.92  7221.16 3.83 3.38 -74.4 -0.447    19.12 20.72 02a57385o0196o 0xc00800
57385.318826 18.711133      NaN     38    27 o    0   1.28 21.76144 33.95493  2964.76  8978.74 3.88 3.48 -73.5 -0.444    18.88 20.25 02a57385o0227o 0xc00800
57415.225080 18.684100      NaN     26    32 o    0   0.88 21.76144 33.95493  2991.33  8463.77 3.82 3.38 -78.2 -0.478    18.89 20.26 02a57415o0061o 0xc00800
57415.249231 18.836735      NaN     25    27 o    0   1.13 21.76144 33.95493  2700.92  7904.01 3.78 3.48 -77.7 -0.463    18.90 20.32 02a57415o0098o 0xc00800
57415.268847 19.128787      NaN    -19    27 o    0   1.24 21.76144 33.95493  3838.85  7292.39 3.70 3.39 -80.4 -0.458    18.89 20.31 02a57415o0129o 0xc00800
57415.287289 18.967180      NaN     16    26 o    0   1.17 21.76144 33.95493  4102.86  7217.42 3.62 3.28 -81.7 -0.460    18.89 20.29 02a57415o0159o 0xc00800
57565.572584 13.165765      NaN  -2693  6555 o    0   1.22 21.76144 33.95493  6776.55  2580.07 3.88 3.44   7.9 -0.503    12.70 12.78 02a57565o0613o 0xc00802
