 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 354 2 2 ZTF_g 2065445540615 0 2.7414 95.8563 5.19336 26.1037 1.82174e-05 0.0364012 -0.0729433 2.6728e-05 579 30. 0.086934 0.086481 20.2228 26.1037 1 2459819.945544 354120106 -5.23721164598309 27.0047623109552 -0.215731998621181 0.948773488612056 44.8711186951749 44.9149245447091 1.00575318157946 1.03833226207097 1.42813121249624 20.6250001907349 0.10700000077486 3.57800006866455 0.215000003576279 2458344.982766 2458374.944028 0
 10 354 2 2 ZTF_r 2065483480615 0 2.4222 143.639 5.81321 26.1672 8.3051e-06 0.0245818 0.0950342 1.15531e-05 571 30. 0.076291 0.082058 20.3033 26.1672 1 2459819.9834838 354120206 41.2468851657944 30.8744496985439 1.48609554799802 1.02897448206645 98.1635392639449 51.665630845996 1.91277401883067 1.06052444900953 null null null null null 2458351.001806 2458380.979271 57
 11 303 13 0 ZTF_g 2069442084815 0 2.6574 331.666 6.74162 25.8416 7.79359e-05 0.0518357 -0.0452376 0.000109746 370 30. 0.119048 0.115501 19.7398 25.8416 1 2459823.9420833 303120148 42.2348741397364 41.5903776729123 1.12962199841247 0.95318363249404 58.612811169589 63.0392912247343 0.936044341214714 1.13209558127804 2.49652640689611 20.1689998626709 0.119000002741814 3.08699989318848 0.203999996185303 2458344.982315 2458441.770058 0
 12 354 2 2 ZTF_g 2069442550615 0 2.514 93.2233 5.91086 26.0521 2.01401e-05 0.0363172 -0.0415187 3.06579e-05 533 30. 0.073474 0.093449 20.0945 26.0521 1 2459823.9425579 354120106 35.9101593524825 29.469300905814 1.35550867125105 0.966892431956088 12.5003664606998 49.7560337085757 0.252925247653955 1.04021627414302 1.42813121249624 20.6250001907349 0.10700000077486 3.57800006866455 0.215000003576279 2458344.982766 2458374.944028 0
 13 303 13 0 ZTF_r 2069466044815 0 3.1233 297.327 7.42054 25.9151 4.88172e-05 0.048666 0.111487 5.58837e-05 480 30. 0.108621 0.139907 19.5324 25.9151 1 2459823.9660417 303120248 82.926873241433 50.8076023659464 1.81560508692314 0.970211878393341 130.902308825582 73.4408488958385 1.79442293203724 1.1178332091211 2.21716614605479 20.3549999237061 0.0869999974966049 1.56900000572205 0.231000006198883 2458357.998553 2458448.875174 0
 14 354 2 2 ZTF_i 2070452580615 0 1.5856 279.621 6.67273 25.4456 2.4858e-06 0.0201078 0.187196 1.08445e-05 569 30. 0.069134 0.08701 19.768 25.4456 2 2459824.952581 354120306 130.595719992036 22.2034357305329 6.54279876968081 1.02479659913313 178.754822771126 44.1945042403335 4.07197116203637 1.03003898829441 1.47291487281753 19.3170000648499 0.112999998033047 4.40500020980835 0.324000000953674 2459187.772222 2459505.838750 0
 15 303 13 0 ZTF_i 2070454004815 0 1.7524 240.894 5.60363 25.2104 1.0559e-05 0.0341463 0.195516 3.75145e-05 483 30. 0.099226 0.088937 19.6353 25.2104 2 2459824.9540046 303120348 72.152028073345 25.6028298344054 3.13483996095776 1.08836717816547 50.4005765393796 48.5792048811002 1.04448039951155 1.06893381306575 2.89821826836329 19.0379997825623 0.136000007390976 5.45100021362305 0.519999980926514 2459184.832535 2459488.963403 0
 16 354 2 2 ZTF_g 2071474940615 0 2.5401 100.237 5.68351 26.128 1.88688e-05 0.0357294 -0.0573476 2.80103e-05 545 30. 0.073144 0.09841 20.2103 26.128 1 2459825.9749421 354120106 128.620390950949 29.2178558487809 4.89684417498482 1.02067237708927 160.597094631153 47.8801437266057 3.37673851245339 1.04611207626218 1.42813121249624 20.6250001907349 0.10700000077486 3.57800006866455 0.215000003576279 2458344.982766 2458374.944028 0
 17 303 13 0 ZTF_g 2071479824815 0 2.2155 357.481 5.23415 25.9471 6.27389e-05 0.0524435 -0.0799186 7.67743e-05 452 30. 0.110904 0.096847 20.2155 25.9471 1 2459825.9798264 303120148 108.096647804424 26.8563842156515 4.47733392575244 1.00517025929047 107.934750354559 45.6603718546027 2.37978125658344 1.079649490334 2.49652640689611 20.1689998626709 0.119000002741814 3.08699989318848 0.203999996185303 2458344.982315 2458441.770058 0
 18 304 16 1 ZTF_r 2072448806115 0 2.1463 202.158 6.25402 25.7929 4.94487e-05 0.0497562 0.0865666 5.76779e-05 489 30. 0.078317 0.086217 19.9414 25.7929 1 2459826.9488079 304120261 307.212940547611 31.8073259223756 10.7440283926832 1.01184471124574 301.161280963882 58.5878948340708 5.17495329670294 1.03323869231691 1.37733166209718 19.4510001182556 0.0949999988079071 4.86100006103516 0.370999991893768 2458359.960347 2458449.913021 0
