Nested Sampling Global Log-Evidence           :   -0.100145143565837653E+02  +/-    0.152503250376235910E+00
Nested Importance Sampling Global Log-Evidence:   -0.122815464491591388E+02  +/-    0.136086006178036095E+00

Dim No.       Mean        Sigma
   1    0.831701547018814935E-01    0.550138270251841893E-01
   2   -0.167763810578812773E+02    0.701915361223230061E+01
   3    0.666323702636161697E+00    0.354306402359196471E+00
   4    0.109723240342432593E+01    0.365662185928284644E+00
   5    0.109827561089517328E-01    0.454191027302853177E-02
   6    0.110407967337449464E+01    0.383727020806930275E+00
   7   -0.169333811165828396E+01    0.435520598919219404E+00
   8   -0.932783861850719903E-01    0.918634463546711411E-01
   9   -0.402878427802593286E+01    0.419059347854068953E+01
  10   -0.143818892597293385E+00    0.146210493394311608E+00
  11   -0.694677545428704774E-01    0.164663726868001153E+00
  12   -0.190679842622563267E+00    0.257526029499633768E+00
  13   -0.206075689092083736E+00    0.249586450864586612E+00
  14   -0.107044119097621682E+01    0.522557602608587843E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.205581119074799562E-01
   2   -0.243093333291391218E+02
   3    0.552581084982851301E+00
   4    0.138210640979365640E+01
   5    0.625995468905584523E-02
   6    0.799540515204253066E+00
   7   -0.188959714497179898E+01
   8    0.517966109235518946E-01
   9   -0.591453304320619999E+01
  10   -0.415318174419913033E+00
  11   -0.127121052542633728E+00
  12   -0.368622475901159596E+00
  13   -0.505389119812744425E-01
  14   -0.100712597963012307E+01

MAP Parameters
Dim No.        Parameter
   1    0.224505199846462999E+00
   2   -0.168001819821251175E+02
   3    0.897968458296242833E+00
   4    0.432118866119155398E+00
   5    0.104484320595658233E-01
   6    0.740009735806402058E+00
   7   -0.134032554126243708E+01
   8   -0.312031689126216830E-01
   9   -0.249063101593772718E+01
  10   -0.392115124848304408E+00
  11    0.667001557369502340E-01
  12   -0.231725886496446903E+00
  13   -0.256973692902069617E+00
  14   -0.106482758099750052E+01
