 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 706 9 3 ZTF_r 605469033515 0 2.0865 179.049 12.0172 26.1854 3.6623e-06 0.0269853 0.0986948 6.91799e-06 1343 30. 0.040891 0.045481 19.631 26.1854 1 2458359.9690394 706120235 18.8693557938755 51.3423836305021 0.408823495434774 1.05666759711757 -71.9478676769331 94.6569921325002 -0.765209617096862 1.04855220794985 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 10 706 9 3 ZTF_r 605469953515 0 2.0439 180.659 12.0115 26.1952 3.1057e-06 0.0248416 0.0995379 5.87639e-06 1342 30. 0.03997 0.043235 19.6437 26.1952 3 2458359.9699537 706120235 63.9559243786414 48.9132857930175 1.45448331460106 1.07322017082317 234.2177984393 90.3556712728622 2.60963440883991 1.04937093182011 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 11 707 12 2 ZTF_r 605470864615 0 1.792 153.869 11.924 26.1493 2.8694e-06 0.0235953 0.0975697 5.49334e-06 1298 30. 0.040436 0.040938 19.7683 26.1493 1 2458359.9708681 707120246 -71.9601170579726 46.8195526602996 -1.70969799483468 0.911360662726307 -15.079634140241 89.7855324079815 -0.16908287935297 1.04214292117106 4.76445793122037 17.1950000762939 0.0549999997019768 5.54899978637695 0.206000000238419 2458154.697326 2458223.671528 0
 12 706 9 3 ZTF_r 605509503515 33554432 1.8367 49.8464 21.9467 24.9172 3.80823e-05 0.0586806 0.0858843 8.88369e-05 649 30. 0.039981 0.042818 17.7496 24.9172 3 2458360.0095023 706120235 91.1476597291738 91.948442188912 1.10269637717436 1.01421554603008 166.34513796395 177.08177611783 0.945695744136641 1.05898064506298 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 13 707 12 2 ZTF_r 605513294615 0 1.5744 84.3142 20.5677 25.4602 1.23265e-05 0.043775 0.102771 2.47641e-05 1089 30. 0.036591 0.036797 18.5217 25.4602 1 2458360.0132986 707120246 74.3955182771979 69.9983788301407 1.18226162457784 1.04449196581855 286.002585902781 140.100329369177 2.05516169069988 1.04689899072796 4.76445793122037 17.1950000762939 0.0549999997019768 5.54899978637695 0.206000000238419 2458154.697326 2458223.671528 0
 14 706 9 3 ZTF_r 605513773515 33554432 1.8741 84.0237 25.017 25.3006 5.30361e-05 0.0799572 0.0954099 0.000116911 867 30. 0.037247 0.042295 17.972 25.3006 1 2458360.0137731 706120235 -108.612311158659 92.9925176828222 -1.29922943196045 1.09308645541259 -256.44854362294 177.625454037943 -1.45348390925906 1.0540351727286 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 15 706 9 3 ZTF_g 606472763515 0 3.021 178.314 11.6974 26.1072 1.71048e-05 0.0427809 0.000878339 4.57429e-05 866 30. 0.077649 0.076667 19.2807 26.1072 3 2458360.9727662 706120135 164.353290436176 82.2352993723115 2.22318153465493 1.05435317131952 353.349262094086 114.622073181119 3.10349551209135 1.25374882045122 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 16 706 9 3 ZTF_r 606513573515 0 3.3284 189.913 12.2863 26.2444 7.6758e-06 0.0363671 0.107482 1.47796e-05 1179 30. 0.058252 0.087341 19.4211 26.2444 3 2458361.0135764 706120235 192.419975973529 80.8297958593201 2.6480944751381 1.01445816848777 267.885030796414 117.028526623817 2.3044744702159 1.22240310290554 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 17 706 9 3 ZTF_g 607467213515 0 3.3272 179.441 10.8599 26.12 1.45595e-05 0.0399732 -0.0129026 3.79937e-05 897 30. 0.0671 0.064258 19.3454 26.12 3 2458361.9672106 706120135 65.2115509628707 75.1668206695442 0.965057408862054 0.997414394083371 97.8410848400432 103.560541314668 0.951134948941864 1.24314984858835 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 18 706 9 3 ZTF_r 607514073515 0 2.3588 189.57 11.9181 26.2488 3.7785e-06 0.0274669 0.0987544 7.15657e-06 1347 30. 0.046338 0.043017 19.5854 26.2488 3 2458362.0140741 706120235 51.1016721759781 59.643486219814 0.953074592802817 1.06068108045467 20.5116132761908 100.493937794113 0.205482645272056 1.06824856268842 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 19 706 9 3 ZTF_r 608451403515 0 2.6378 176.2 9.83267 26.1563 4.6683e-06 0.030415 0.114873 8.88791e-06 1340 30. 0.068822 0.051911 19.6549 26.1563 3 2458362.9514005 706120235 78.400208939098 61.5167405911081 1.41768160578055 0.91186605947613 272.785709774953 93.7103583687501 2.9305504962893 1.12476318785788 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 20 706 9 3 ZTF_r 608452313515 0 2.6408 176.185 9.79065 26.1613 4.4138e-06 0.029621 0.10884 8.42529e-06 1341 30. 0.070967 0.054061 19.6724 26.1613 1 2458362.9523148 706120235 85.4341002586844 55.2690070921407 1.71950874390862 1.08560455993129 166.725211617411 85.5266108658191 1.96252504116534 1.12043739554995 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 21 706 9 3 ZTF_g 608495773515 0 3.4409 188.108 9.21059 26.1792 1.30049e-05 0.0408587 -0.00544736 3.29394e-05 1002 30. 0.066133 0.08162 19.6309 26.1792 3 2458362.9957755 706120135 -72.7188363281258 64.5568951167162 -1.25302312733582 1.07319196700214 -12.1834078961325 89.5525009668529 -0.136963945360098 1.28380728738863 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 22 706 9 3 ZTF_g 608496683515 0 3.4839 189.894 9.18888 26.1786 1.20135e-05 0.0401924 -0.0111797 2.96587e-05 1024 30. 0.062467 0.071766 19.6158 26.1786 1 2458362.9966898 706120135 79.3623433661481 64.3703930826865 1.37145992846639 0.986481642601392 64.8832986010494 89.1946599787225 0.732334103473956 1.2691236275548 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 23 707 12 2 ZTF_g 608505284615 0 2.2594 148.446 9.32738 26.2276 6.1976e-06 0.0326968 -0.0701427 1.33299e-05 1206 30. 0.048455 0.041787 19.9623 26.2276 1 2458363.0052894 707120146 -99.6788067767705 41.0548810627291 -2.70080253971227 0.967601695957578 -119.417235849142 72.1256575410181 -1.66683427093716 1.05716573661117 4.76385369491131 17.8979999542236 0.0610000006854534 5.30399990081787 0.252999991178513 2458166.677234 2458427.926991 0
 24 706 9 3 ZTF_r 609492873515 0 2.3171 175.117 9.28663 26.1479 3.6993e-06 0.0270293 0.104663 6.99771e-06 1332 30. 0.052123 0.048702 19.7889 26.1479 3 2458363.9928704 706120235 99.3002667611911 50.6298272102556 2.18171878527075 0.970558241826031 306.504849491739 81.7498923502653 3.77455148155669 1.09821745042086 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 25 706 9 3 ZTF_g 609515383515 0 3.3831 180.115 13.5035 26.1351 1.92905e-05 0.0421751 -0.0131859 5.31227e-05 776 30. 0.065978 0.07452 19.1346 26.1351 3 2458364.0153819 706120135 23.3528475715095 98.911782503676 0.262631380968351 0.957286077248097 92.9378048244324 137.875491218946 0.678610429307655 1.27055265195751 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 26 706 9 3 ZTF_g 610465093515 0 3.3589 163.564 8.79233 26.02 1.27356e-05 0.0400669 -0.0134217 3.2303e-05 983 30. 0.080565 0.070059 19.5083 26.02 3 2458364.9650926 706120135 -17.0769478517254 62.9923318290238 -0.301562522958053 1.01843354479852 57.7118549716197 87.9348638893538 0.660722551505922 1.25804003602319 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
