Nested Sampling Global Log-Evidence           :   -0.287729472962649879E+01  +/-    0.120793964569252260E-01
Nested Importance Sampling Global Log-Evidence:   -0.287576441713525588E+01  +/-    0.137615881880499800E-01

Dim No.       Mean        Sigma
   1    0.529155763310981478E-01    0.999446565341402353E-03
   2   -0.206947362509000499E+02    0.570051692490677053E-01
   3    0.723818049919278561E+00    0.105998445810190269E-01
   4    0.150565555824666131E+01    0.166054760040815924E-02
   5    0.690043233506333099E-02    0.103325163715103409E-03
   6    0.111245393620379662E+01    0.244979502525495205E-02
   7   -0.176396115938131026E+01    0.944997463378750013E-01
   8   -0.103184957825531429E+00    0.299305585543374044E-02
   9   -0.407281421130479515E+01    0.149898882635207592E+00
  10   -0.301030294522155073E+00    0.280775282979987932E-01
  11    0.513003023608838826E-02    0.201892835512050344E-02
  12   -0.185508408279661391E+00    0.163950851624469103E-01
  13   -0.128498409871665803E+00    0.342126166745161404E-02
  14   -0.106936035184015976E+01    0.666721226739258339E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.524856629182939988E-01
   2   -0.207404455543578656E+02
   3    0.719178673721173944E+00
   4    0.150643910512174184E+01
   5    0.692169402603920372E-02
   6    0.111267713067941809E+01
   7   -0.163593215683596593E+01
   8   -0.104090478415914525E+00
   9   -0.406387169854075747E+01
  10   -0.303764031047805083E+00
  11    0.686573225845257297E-02
  12   -0.170045593178178300E+00
  13   -0.134189410777802942E+00
  14   -0.107109536987329523E+01

MAP Parameters
Dim No.        Parameter
   1    0.549182559707796086E-01
   2   -0.206445599567065088E+02
   3    0.730560822712420288E+00
   4    0.150430308176016814E+01
   5    0.689091126628452958E-02
   6    0.111096614609019428E+01
   7   -0.173478933086757658E+01
   8   -0.108458960933232526E+00
   9   -0.419475725952470579E+01
  10   -0.250019498754381786E+00
  11    0.307724867844270640E-02
  12   -0.193911598498109128E+00
  13   -0.132190376125405906E+00
  14   -0.107076508653592439E+01
