Nested Sampling Global Log-Evidence           :   -0.152176248358342662E+03  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.152188015405083007E+03  +/-    0.443655438218775160E-02

Dim No.       Mean        Sigma
   1    0.391564415470284435E-01    0.187237784706894308E-03
   2   -0.214997688002342500E+02    0.551342629886216531E-01
   3    0.700553610598266485E+00    0.129631508049567797E-02
   4    0.184311088962182401E+01    0.690986426920021674E-03
   5    0.683849080425722941E-02    0.557284353009559907E-05
   6    0.235156519282819465E+01    0.645217556870598149E-03
   7   -0.199430967494137246E+01    0.915591833440689840E-01
   8   -0.585460427395225469E-01    0.504911668357646169E-03
   9    0.423413887175439996E+01    0.449187645072681163E-01
  10   -0.299876208123519283E+00    0.540067587619463396E-02
  11   -0.156215909891194660E+00    0.168602067740215747E-02
  12    0.265435491460449591E+00    0.745543110851910103E-03
  13   -0.329266105144819299E+00    0.230587410519085892E-02
  14   -0.107863709582727063E+01    0.102927277345089135E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.394566907832587174E-01
   2   -0.214747495269432989E+02
   3    0.701779528268922204E+00
   4    0.184319909546659799E+01
   5    0.683719002863881434E-02
   6    0.235183001487939292E+01
   7   -0.196997233111491732E+01
   8   -0.583154313879417074E-01
   9    0.425750821488125997E+01
  10   -0.302450161528632466E+00
  11   -0.156425009543006033E+00
  12    0.266565188058955571E+00
  13   -0.328860623947589192E+00
  14   -0.108951348160424955E+01

MAP Parameters
Dim No.        Parameter
   1    0.392092213580722548E-01
   2   -0.216248583164227988E+02
   3    0.699694034070134196E+00
   4    0.184388514878272369E+01
   5    0.683296578331172005E-02
   6    0.235060313644685070E+01
   7   -0.189474779367808632E+01
   8   -0.589018143938036740E-01
   9    0.431939226839725521E+01
  10   -0.295153464584180680E+00
  11   -0.154784752715781820E+00
  12    0.266333971488529775E+00
  13   -0.329095085066417326E+00
  14   -0.107943972926454390E+01
