Nested Sampling Global Log-Evidence           :   -0.146010497510992607E+02  +/-    0.406719040083626082E+00
Nested Importance Sampling Global Log-Evidence:   -0.194390693042961544E+02  +/-    0.776240555574399249E-01

Dim No.       Mean        Sigma
   1    0.997914228380551022E-01    0.394354131504627628E-01
   2   -0.265466322701481587E+02    0.232340187628761408E+01
   3    0.920792484447765402E+00    0.832818849145785106E-01
   4    0.164593380136552558E+01    0.169708130590374207E+00
   5    0.717381281531827460E-02    0.247477705608170184E-02
   6    0.162840516348124376E+01    0.114385085654569355E+00
   7   -0.176389818851356317E+01    0.451403009178612313E+00
   8   -0.448331591525186757E-01    0.385747766125225447E-01
   9   -0.382183395910132662E+01    0.214913908696359313E+01
  10   -0.136777426463688012E+00    0.100519606662559519E+00
  11   -0.625567397346176030E-01    0.124954564617400801E+00
  12   -0.220881707925195542E+00    0.187531791536558884E+00
  13   -0.113086501812594817E+00    0.133236696915613850E+00
  14   -0.107751558945230541E+01    0.669241133536309096E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.714336668806885011E-01
   2   -0.280558632084636272E+02
   3    0.918630032184693412E+00
   4    0.159968519499133799E+01
   5    0.391476883368885482E-02
   6    0.158579273844250879E+01
   7   -0.116562624432483153E+01
   8   -0.353224119283902030E-01
   9   -0.239539953972267661E+01
  10   -0.123937242906570363E+00
  11    0.145328762270062264E-01
  12   -0.275643852180483706E+00
  13   -0.180488856684925980E+00
  14   -0.101428836474315176E+01

MAP Parameters
Dim No.        Parameter
   1    0.714336668806885011E-01
   2   -0.280558632084636272E+02
   3    0.918630032184693412E+00
   4    0.159968519499133799E+01
   5    0.391476883368885482E-02
   6    0.158579273844250879E+01
   7   -0.116562624432483153E+01
   8   -0.353224119283902030E-01
   9   -0.239539953972267661E+01
  10   -0.123937242906570363E+00
  11    0.145328762270062264E-01
  12   -0.275643852180483706E+00
  13   -0.180488856684925980E+00
  14   -0.101428836474315176E+01
