Nested Sampling Global Log-Evidence           :   -0.368842861080348655E+03  +/-    0.724830351312910737E+00
Nested Importance Sampling Global Log-Evidence:   -0.374130485907579441E+03  +/-    0.354780053123168529E-01

Dim No.       Mean        Sigma
   1   -0.113507728280867106E-01    0.110877776028475688E-01
   2   -0.593369111834291818E+01    0.110498182495259584E+00
   3    0.829893795749626767E-01    0.346071860341349569E-01
   4    0.599252941959343866E+00    0.127692726831006770E+00
   5    0.904973678825955405E-02    0.446215885317503835E-02
   6    0.161644793411035170E+01    0.112647097455922281E-01
   7   -0.172834687828048406E+01    0.451940004404127516E+00
   8    0.274424550808938100E-01    0.146070916898859912E-01
   9   -0.869472560783353665E-01    0.138504541766081957E+00
  10   -0.138623828748742683E+00    0.474790680314131561E-01
  11   -0.412304593793428667E-01    0.114185540894735649E+00
  12   -0.266688832069158777E+00    0.232044170322494053E+00
  13   -0.207669245171482691E+00    0.151218244176184909E-01
  14   -0.106153412557201654E+01    0.598797255642663159E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.234684735093133728E-01
   2   -0.590777374710050118E+01
   3    0.593498934794713939E-01
   4    0.624111625091041233E+00
   5    0.321639201525656011E-02
   6    0.162049160176863571E+01
   7   -0.149082264459077884E+01
   8    0.320974693313566123E-01
   9   -0.158384425160184250E+00
  10   -0.102353803057295439E+00
  11   -0.542885654253937033E-01
  12   -0.519834281393315889E+00
  13   -0.205297658753714696E+00
  14   -0.100431807127717709E+01

MAP Parameters
Dim No.        Parameter
   1   -0.234684735093133728E-01
   2   -0.590777374710050118E+01
   3    0.593498934794713939E-01
   4    0.624111625091041233E+00
   5    0.321639201525656011E-02
   6    0.162049160176863571E+01
   7   -0.149082264459077884E+01
   8    0.320974693313566123E-01
   9   -0.158384425160184250E+00
  10   -0.102353803057295439E+00
  11   -0.542885654253937033E-01
  12   -0.519834281393315889E+00
  13   -0.205297658753714696E+00
  14   -0.100431807127717709E+01
